-0.423159,-0.367682,-0.419263,-0.337015,-0.408474,-0.427564,-0.502602,-0.416379,-0.42547,-0.517624,-0.475338,-0.48535,-0.501678,-0.354385,-0.512955,-0.429888,-0.391451,-0.440548,-0.461473,-0.394229	-0.00677712,0.0104442,-0.0112242,-0.0589289,-0.0126425,-0.0202904,0.024064,-0.0187749,-0.0399219,-0.0221652,-0.0169611,0.0182913,-0.028694	-0.412276,-0.373461,-0.417617,-0.378388,-0.372362,-0.352428,-0.4346,-0.489032,-0.41365,-0.377374,-0.620045,-0.447935,-0.41125,-0.457981,-0.375572,-0.502729,-0.395609,-0.381529,-0.465614,-0.443421,-0.37697
0.0748004,-0.0205323,-0.0311686,0.0890293,-0.0203077,0.0528476,0.0248971,0.0499973,0.109758,0.153077,0.267431,0.0821835,0.0474538,-0.0906398,0.089892,-0.0448577,0.0180071,0.129416,0.0554671,0.0265007	0.0301385,0.0136127,0.0843066,0.00282744,0.0495399,-0.0285046,0.075278,0.0369654,0.109329,0.365067,0.0717308,-0.0253271,0.00914825,0.0717772,-0.0162735,0.0314803,0.119547,0.059274,0.0361974	0.0448205,-0.0256564,-0.0598173,0.0238302,-0.0078994,0.00227519,-0.0257878,0.051962,-0.0580655,-0.0180628,0.00196649,0.0465332,-0.00583309,-0.0137845,0.0084634,-0.0361258,-0.0251098,0.0031202,0.0278107
0.53865,0.490984,0.475257,0.506938,0.467211,0.532387,0.49762,0.522302,0.504698,0.540271,0.495297,0.617974,0.512556,0.487638,0.472081,0.503461,0.528214,0.564146,0.514772,0.485746,0.572609,0.553619,0.506125	0.526542,0.49161,0.481379,0.513585,0.459499,0.492425,0.487843,0.553499,0.501532,0.528385,0.513878,0.594584,0.531508,0.498583,0.450118,0.478698,0.501793,0.532569,0.50371,0.490662,0.587621,0.539585,0.507517	0.00514637,-0.00161511,0.00081413,0.0220789,0.00327202,-0.00737468,0.00148041,0.00398287,0.00112844,0.0231967,0.0262189,0.0141945,-0.00703922,0.0103827
0.218042,0.173556,0.163735,0.241026,0.184665,0.159842,0.272818,0.2406,0.262481,0.208353,0.454129,0.201267,0.189722,0.15132,0.188542,0.213699,0.164586,0.274738,0.212646,0.212429	0.252769,0.222075,0.198385,0.223833,0.223573,0.171128,0.274551,0.239523,0.283267,0.365864,0.324583,0.235616,0.220416,0.234904,0.24918,0.168822,0.277849,0.256262,0.256876	-0.0309534,-0.0511184,-0.0189283,-0.009595,-0.0228922,-0.00619535,0.0142871,-0.0545915,-0.0366627,-0.0173409,-0.0141346,-0.0702363,-0.00740162,-0.0476599,-0.0503552,0.00547532,-0.0535315
-0.139076,-0.184629,-0.132342,-0.0998012,-0.169242,-0.0938929,-0.106395,-0.194509,-0.0440589,-0.225649,-0.128301,-0.0486675,-0.183552,-0.118485,-0.0890811,-0.0899999,-0.0163162,-0.100257	0.0155858,0.0340942,0.0616445,0.0354851,-0.023098,0.0357692,0.0328197,0.0549585,-0.010253,0.059376,0.0293257,0.00560596,0.0568816,0.0482777,0.0524604,0.0118117	-0.155112,-0.22868,-0.16997,-0.164201,-0.161735,-0.0906825,-0.125094,-0.232074,-0.115281,-0.215337,-0.130847,-0.120616,-0.235959,-0.0784566,-0.175193,-0.13671,-0.112799,-0.116853
0.111472,0.0697951,-0.0183466,0.161454,0.000318151,0.0333266,0.0649353,0.140523,0.087402,0.109396,0.14116,0.368465,0.22683,0.11664,0.103158,-0.0345723,0.101919,0.0848608,0.0738281,0.0293627,0.220588,0.18437,0.0424351	0.248393,0.191927,0.200539,0.218032,0.168451,0.158502,0.242224,0.221694,0.267593,0.330025,0.351749,0.240679,0.181594,0.185056,0.274369,0.180266,0.17897,0.320184,0.210815,0.224779	-0.105804,-0.180228,-0.174565,-0.112169,-0.17906,-0.0847276,-0.123834,-0.0874853,-0.142785,-0.0879394,-0.0805481,-0.115662,-0.0850413,-0.190656,-0.129871,-0.184437,-0.152797,-0.0677827,-0.0856932,-0.145045
0.103656,0.0349833,-0.160305,0.137383,-0.0542587,-0.00690367,0.013237,0.0850194,0.0513155,0.158971,0.0409539,0.421748,0.0959914,0.0370958,0.0878707,-0.121676,0.0923284,-0.0087454,0.080664,0.0665377,0.147721,0.0851696,0.0505932	0.236901,0.188967,0.212156,0.137231,0.184298,0.113485,0.247217,0.159425,0.264417,0.450553,0.224663,0.18961,0.145709,0.21499,0.218437,0.202899,0.286272,0.188075,0.166872	-0.112924,-0.22298,-0.245323,-0.121822,-0.208797,-0.101527,-0.135351,-0.139231,-0.132951,-0.122933,-0.0878903,-0.135227,-0.113082,-0.240257,-0.141359,-0.22617,-0.17565,-0.140993,-0.0513,-0.138688
0.0681247,0.0550389,0.0805938,0.0441808,-0.0209691,0.039054,0.0336977,0.0405349,0.0115746,-0.00593531,0.0022386,0.0439633,0.009708,0.0382544,0.0618606,0.0267502,0.057959	-0.379334,-0.332556,-0.281103,-0.354345,-0.3263,-0.371715,-0.357432,-0.499847,-0.382619,-0.393659,-0.440211,-0.489941,-0.510479,-0.417107,-0.39366,-0.338372,-0.557103,-0.284197,-0.34431,-0.412152,-0.379732,-0.395892	0.441707,0.361845,0.343415,0.430834,0.37031,0.349643,0.372709,0.468757,0.478981,0.418824,0.339333,0.623189,0.425667,0.495512,0.495929,0.304546,0.395503,0.558439,0.293464,0.372816,0.47089,0.433166,0.402796,0.43614
-0.00742675,0.0155927,-0.0105696,-0.0160642,0.00511149,-0.00446592,0.0242899,-0.0122443,-0.0100777,0.00045418,0.00092492,0.0136359,-0.00234575	-0.428767,-0.358592,-0.403789,-0.361675,-0.372379,-0.425964,-0.454125,-0.438713,-0.450871,-0.442952,-0.519208,-0.498761,-0.427914,-0.399534,-0.431327,-0.535687,-0.397538,-0.400294,-0.434068,-0.403226	0.416543,0.37107,0.406937,0.38825,0.368303,0.376181,0.452783,0.475869,0.410988,0.377448,0.615539,0.454987,0.426385,0.483962,0.345629,0.510189,0.455287,0.3873,0.439056,0.442907,0.398865
-0.0133748,0.000429979,0.0314884,-0.019688,-0.0298366,0.00544768,-0.014885,0.00527018,-0.0357965,-0.0355424,-0.00117299,-0.00677125,0.00872092,0.022524,-0.0158167	-0.415179,-0.339428,-0.370803,-0.361573,-0.350923,-0.412123,-0.440677,-0.475112,-0.434298,-0.393711,-0.573349,-0.486085,-0.431752,-0.428556,-0.376481,-0.527513,-0.356216,-0.329523,-0.444132,-0.431291,-0.417573	0.398057,0.356758,0.355194,0.411003,0.365861,0.328939,0.385098,0.515347,0.402645,0.411606,0.476826,0.512089,0.487468,0.386052,0.404588,0.371738,0.536371,0.325019,0.363312,0.463771,0.425376,0.360942
-0.0503632,-0.0143839,-0.0123957,-0.0698759,-0.0363157,-0.00658364,-0.032515,-0.0111,-0.0528174,-0.0501596,-0.0391709,-0.0160372,-0.0427847,-0.00737291,0.0179868	-0.326427,-0.19644,-0.30432,-0.251348,-0.293505,-0.310254,-0.432846,-0.247611,-0.240096,-0.548456,-0.33583,-0.386388,-0.331106,-0.235779,-0.46517,-0.29687,-0.319279,-0.330398,-0.291106	0.279364,0.188797,0.256967,0.239803,0.253382,0.24997,0.333783,0.388606,0.214358,0.2905,0.483889,0.331393,0.310717,0.29967,0.206703,0.473409,0.187704,0.220035,0.395742,0.36591,0.32996
0.0187108,-0.0359057,0.0372989,-0.0172847,-0.0319472,-0.0140562,0.00478534,-0.0459077,0.026095,-0.018184,-0.0752179,-0.0543859,-0.0190674,-2.53509e-05,-0.0325152,0.00755817,0.0207888,-0.0224812	-0.33541,-0.284518,-0.233742,-0.360564,-0.24423,-0.32882,-0.345559,-0.451721,-0.358765,-0.292077,-0.536902,-0.450045,-0.490096,-0.434367,-0.256625,-0.343995,-0.46325,-0.31722,-0.278676,-0.37126,-0.422427,-0.31631	0.353968,0.261232,0.227672,0.394106,0.216684,0.238805,0.33243,0.396923,0.428422,0.332587,0.309267,0.497837,0.46829,0.435175,0.331972,0.387282,0.205477,0.441801,0.340535,0.340686,0.248459,0.398874,0.432878,0.276601
0.020993,-0.0382441,0.012719,-0.0157214,0.0116095,-0.0323721,0.0022645,-0.0252615,0.0212042,-0.00712697,-0.0691838,-0.0562363,-0.0526361,0.0114943,-0.038668,-0.019006,0.0346819,-0.00533782,0.00284663	-0.330031,-0.236654,-0.21003,-0.330325,-0.203086,-0.319382,-0.314536,-0.440473,-0.331231,-0.266495,-0.549544,-0.409035,-0.455588,-0.471607,-0.150681,-0.358608,-0.411748,-0.31414,-0.25357,-0.352913,-0.363047,-0.358825	0.348458,0.230563,0.152179,0.372074,0.179079,0.214152,0.32475,0.380636,0.413123,0.306886,0.280051,0.513911,0.44342,0.431427,0.301937,0.345936,0.169177,0.430072,0.319617,0.308041,0.224488,0.370381,0.403205,0.293993
