P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
arg	ann	ano	0.013695	3.31908	0.000451569	0.00355469	69565.7	27935.7	27180.9
ano	deb	ann	0.00463193	0.779876	0.217732	0.00300515	42519.1	38086.1	37734.9
des	ano	ann	0.00764486	2.02425	0.021472	0.00363046	85803.7	27836	27413.6
ano	niv	ann	0.0273593	6.47035	4.88865e-11	0.015576	51992.7	33224.1	31454.6
ann	par	ano	0.0308814	5.49667	1.93512e-08	0.010438	45120.5	35351.8	33233.8
ano	pet_fal	ann	0.126507	20.4844	0	0.0765932	49603.6	40009.1	31023
ano	pet_pet	ann	0.150177	21.1675	0	0.0938813	47826.3	41942.8	30989.9
ann	arg	deb	0.0338498	6.49432	4.17043e-11	0.012468	72080.8	31161.2	29120.7
ann	arg	des	0.00064823	0.161982	0.43566	0.00014224	72417.2	28766.8	28729.5
arg	ann	niv	0.00676369	1.53898	0.0619044	0.0023285	69063.9	28550.2	28166.6
arg	ann	par	0.0270569	5.61434	9.86574e-09	0.00823691	60706.7	32428.6	30720
arg	ann	pet_fal	0.014234	3.00103	0.00134536	0.00652762	66755	32045.8	31146.4
arg	ann	pet_pet	0.0121597	2.40872	0.00800432	0.00514459	65172.8	32804.7	32016.5
des	deb	ann	0.0125427	2.1064	0.0175848	0.00814029	45576.8	39684.3	38701.1
deb	niv	ann	0.0200758	3.79118	7.49677e-05	0.0125981	46922.4	37832.1	36343
ann	par	deb	0.0126239	2.0174	0.0218268	0.00581775	47820.4	36633.8	35720.4
deb	pet_fal	ann	0.120191	23.1549	0	0.0727398	59372.1	41214.4	32370.2
deb	pet_pet	ann	0.14869	25.4377	0	0.090094	61748.1	42243	31306.9
des	niv	ann	0.0361043	7.99608	6.42227e-16	0.0202712	56953.4	34448.5	32047.7
ann	par	des	0.0426616	7.89145	1.49349e-15	0.012161	47171.1	37311.1	34257.9
des	pet_fal	ann	0.134168	22.1127	0	0.0808932	54161.1	41577.5	31740.6
des	pet_pet	ann	0.157283	22.9264	0	0.0980893	51904.8	43626.7	31768.3
ann	par	niv	0.0360479	5.89775	1.84246e-09	0.0161655	44410.5	36529	33987
niv	pet_fal	ann	0.106811	20.3865	0	0.0612365	59562.3	37317.4	30114.9
niv	pet_pet	ann	0.132969	21.3738	0	0.0793278	56501.2	39465.4	30201.8
ann	par	pet_fal	0.0279072	3.82811	6.45658e-05	0.0167865	42039.4	40484.5	38286.2
ann	par	pet_pet	0.00865555	1.16003	0.123017	0.00474151	41389.8	40368.3	39675.5
pet_fal	pet_pet	ann	0.0358684	9.62848	0	0.0188128	97084.1	30673.1	28548.9
ano	deb	arg	0.040683	6.04752	7.35471e-10	0.0144235	41576.2	39217.5	36151.3
ano	des	arg	0.00560966	1.40401	0.0801572	0.00143654	83471.8	27243.5	26939.5
ano	niv	arg	0.0328201	7.53664	2.41124e-14	0.0099448	51173.7	32648.3	30573.3
arg	par	ano	0.0411948	6.95999	1.70146e-12	0.0142697	43069.8	35344.7	32547.9
ano	pet_fal	arg	0.122444	19.3911	0	0.0395446	49084.5	38888.1	30403.7
ano	pet_pet	arg	0.148363	20.3605	0	0.0494301	47304.7	40795.9	30254.6
