P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
arg	ann	ano	0.013695	3.31908	0.000451569	0.00355469	69565.7	27935.7	27180.9
ano	deb	ann	0.00463193	0.779876	0.217732	0.00300515	42519.1	38086.1	37734.9
des	ano	ann	0.00764486	2.02425	0.021472	0.00363046	85803.7	27836	27413.6
ano	niv	ann	0.0273593	6.47035	4.88865e-11	0.015576	51992.7	33224.1	31454.6
ann	par	ano	0.0308814	5.49667	1.93512e-08	0.010438	45120.5	35351.8	33233.8
ann	ano	pet_fal	0.107066	9.71699	0	0.0712516	31023	49603.6	40009.1
ann	ano	pet_pet	0.0655404	5.29243	6.0351e-08	0.0392369	30989.9	47826.3	41942.8
ann	arg	deb	0.0338498	6.49432	4.17043e-11	0.012468	72080.8	31161.2	29120.7
ann	arg	des	0.00064823	0.161982	0.43566	0.00014224	72417.2	28766.8	28729.5
arg	ann	niv	0.00676369	1.53898	0.0619044	0.0023285	69063.9	28550.2	28166.6
arg	ann	par	0.0270569	5.61434	9.86574e-09	0.00823691	60706.7	32428.6	30720
arg	ann	pet_fal	0.014234	3.00103	0.00134536	0.00652762	66755	32045.8	31146.4
arg	ann	pet_pet	0.0121597	2.40872	0.00800432	0.00514459	65172.8	32804.7	32016.5
des	deb	ann	0.0125427	2.1064	0.0175848	0.00814029	45576.8	39684.3	38701.1
deb	niv	ann	0.0200758	3.79118	7.49677e-05	0.0125981	46922.4	37832.1	36343
ann	par	deb	0.0126239	2.0174	0.0218268	0.00581775	47820.4	36633.8	35720.4
deb	pet_fal	ann	0.120191	23.1549	0	0.0727398	59372.1	41214.4	32370.2
deb	pet_pet	ann	0.14869	25.4377	0	0.090094	61748.1	42243	31306.9
des	niv	ann	0.0361043	7.99608	6.42227e-16	0.0202712	56953.4	34448.5	32047.7
ann	par	des	0.0426616	7.89145	1.49349e-15	0.012161	47171.1	37311.1	34257.9
ann	des	pet_fal	0.131437	11.5632	0	0.0904875	31740.6	54161.1	41577.5
ann	des	pet_pet	0.0866524	6.86953	3.22079e-12	0.0535449	31768.3	51904.8	43626.7
ann	par	niv	0.0360479	5.89775	1.84246e-09	0.0161655	44410.5	36529	33987
niv	pet_fal	ann	0.106811	20.3865	0	0.0612365	59562.3	37317.4	30114.9
niv	pet_pet	ann	0.132969	21.3738	0	0.0793278	56501.2	39465.4	30201.8
pet_fal	ann	par	0.0188418	1.91185	0.0279474	0.00726643	38286.2	42039.4	40484.5
ann	par	pet_pet	0.00865555	1.16003	0.123017	0.00474151	41389.8	40368.3	39675.5
pet_fal	pet_pet	ann	0.0358684	9.62848	0	0.0188128	97084.1	30673.1	28548.9
arg	ano	deb	0.0291938	2.53936	0.00555285	0.015338	36151.3	41576.2	39217.5
ano	des	arg	0.00560966	1.40401	0.0801572	0.00143654	83471.8	27243.5	26939.5
ano	niv	arg	0.0328201	7.53664	2.41124e-14	0.0099448	51173.7	32648.3	30573.3
arg	par	ano	0.0411948	6.95999	1.70146e-12	0.0142697	43069.8	35344.7	32547.9
arg	ano	pet_fal	0.115905	10.1946	0	0.0778592	30403.7	49084.5	38888.1
arg	ano	pet_pet	0.0738783	5.98211	1.10136e-09	0.0446745	30254.6	47304.7	40795.9
