0.538462,0.0909091,-0.846154,-1,-0.75,-0.463259,-1,-0.692308,-0.662857,0,-0.574468,0.84556,0.5,0.333333,-0.404063,1,-0.666667,0.142857,0.341538,0.2,0.047619,-0.52,0.8,-0.714286,-1,0.125,0.428571,0.462963,-1,-0.0344828,-0.675676,0.56213,0,1,-0.531346,0.509434,0.605263,1	-0.756098,-0.567568,-0.943662,-1,-0.666667,-0.741106,-1,-0.938462,0.493671,-1,0.142857,-0.222222,0.979296,0.25,0.37931,0.483146,-0.5,-0.333333,0.333333,-0.756502,-0.61039,-0.400545,0.333333,0.320293,-0.894737,-1,-0.349398,0.773399,-0.553672,-1,0.302326,-0.798319,0.692308,-1,-0.6,-0.457364,-0.912274,-0.0243902,0.834586,-0.938462	0.92,0.626168,0.483871,0.0769231,-0.166667,0.423112,-0.0632911,0.702703,-0.871383,1,-0.142857,-0.403794,-0.777778,0.285714,-0.0526316,-0.742297,1,-0.428571,-0.2,0.872587,0.722222,0.439776,-0.727273,0.64497,0.5,-0.125,0.454545,-0.515789,0.809211,0.0434783,-0.333333,0.266272,-0.213115,1,0.6,1,0.739283,0.527273,-0.463415,1
0.666667,-0.176471,-1,-0.8,-1,-0.2,-0.411765,-0.655474,-0.142857,-0.361702,0.84252,0,0.411765,-0.181818,1,-0.5,-0.142857,-0.28866,-0.304348,0.172775,-0.333333,0.888889,1,-1,-0.0181818,0.5625,0.56962,-1,-0.0434783,-0.666667,-1,-1,0.555556,-0.255605,0.509434,1,1	-0.726027,-0.176471,-1,-1,-0.666667,-1,-0.2,-0.787234,0.84375,-1,0.2,-0.25,0.84252,-0.333333,0.6,0.210762,-0.581395,0,-0.142857,-0.876312,-0.379845,-0.571538,0,0.256158,-0.5,-1,-0.513514,0.515152,-0.0606061,-1,0.294118,-0.835294,-1,-1,-1,-0.309859,-0.817849,-0.04,0,-0.938462	0.938462,0,-0.5,1,-0.285714,0.62963,0,0.555556,-0.965338,1,-0.333333,-0.122807,0,0.333333,-0.25,-0.378092,1,-0.5,0,0.786637,0.0853659,0.677419,-0.333333,0.819277,1,-0.333333,0.5,0.0666667,0.609195,0.351351,-0.333333,0.380531,-0.213115,1,0.829268,0.738318,0.710843,0.538462,1,1
0.764706,0.473684,0.333333,0.333333,-1,-0.315914,-1,-0.5,-0.687151,-1,0.272727,0.363636,-0.6,0.454545,-0.666667,-0.333333,1,-0.2,0.142857,-1,1,0.658537,0.6,0.571429,0.333333,-0.125,1,0.646018,0.722222,0.333333,1,-0.730337,0.59116,0,0.473684,0.578947,0.252669,0.705882,-0.428571,-0.733333	-0.52381,-0.176471,-0.448276,0.0434783,-1,-0.433071,-1,-0.826087,0.272727,-1,1,-0.333333,1,0.6,-0.666667,0.578947,0.111111,1,0,-1,-0.643836,0.7,1,0.32,-0.2,0,-0.4,0.347826,0.00323625,0.297297,0.647059,-0.808,0.714286,-0.333333,0.333333,-0.324759,-0.457209,1,1,-0.921569	0.92,0.6,0.68,0.294118,-0.333333,0.135725,0,0.555556,-0.808383,0.675676,-1,0.621622,-1,-0.2,0,-0.764706,1,-1,0.142857,0.360357,1,-0.0769231,-1,0.307692,0.5,-0.125,1,0.384615,0.72067,0.04,1,0.189474,-0.213115,0.333333,0.166667,0.760684,0.636364,-1,-1,0.580645
-1,0.545455,1,0.166667,-0.111111,0.283276,-1,-0.0666667,-0.0546875,-0.454545,0.238095,-0.0909091,0.5,0.166667,0.757576,0.465066,1,1,1,0.368421,1,0.532847,-0.2,0.41844,1,0.0769231,0.609756,0.82684,0.217391,-0.0721649,0.0869565,-0.506849,0.467249,1,0.25,0.571429,0.161631,0.263768,0.6875,1	-1,0.545455,0.142857,0.555556,-0.272727,0.382353,-1,0.0769231,0.931585,0.2,0.857143,0.28,0.92,0.555556,0.633803,0.908962,-0.142857,0.666667,-0.5,-0.170732,0.222222,0.241379,0.333333,0.408451,0.2,0.4,-0.647059,0.223188,0.0434783,-0.268293,1,-0.604396,0.75,0.212121,0.186441,-0.153846,0.183988,0.59707,0.433628,-0.794872	0.6,0,1,-0.428571,0.166667,-0.111111,-0.5,-0.142857,-0.938462,-0.6,-0.777778,-0.361702,-0.777778,-0.428571,0.238095,-0.768953,1,1,1,0.507246,1,0.334489,-0.5,0.0120482,1,-0.333333,0.901235,0.74026,0.175573,0.2,-1,0.140625,-0.435294,1,0.0666667,0.666667,-0.0230415,-0.395604,0.361702,1
1,0.333333,-0.666667,-0.2,-0.333333,-0.529412,-1,-1,0.704433,1,-0.2,0.25,0.697674,-0.454545,0.347826,1,0,-0.741007,0.44186,0.479675,0.117647,1,-1,-0.0666667,0.44,0.75,-1,0.25,0.5,0.623188,-0.333333,0.333333,1,0.282869,1,-0.851852,-0.846154	-0.111111,1,-0.882353,0,-0.75,1,-1,-1,1,0.5,0,0.636364,0.946667,0.2,-1,0.871227,0.333333,1,-1,-0.538462,0.0877193,0.410853,-1,-0.05,0.333333,-1,1,0.0714286,0.8,-1,-0.0909091,0,0.75,-0.333333,-0.2,0.175573,0.0353698,0.779817,-0.666667,-0.962264	1,-1,0.52381,-0.2,0.555556,-1,-0.0714286,-0.333333,-1,1,-0.2,-0.459459,-0.733333,-0.6,1,-0.750973,1,-1,1,-0.337017,0.368421,0.0857143,1,0.166667,1,0.555556,-1,0.380531,-0.125,0.104478,0.333333,0.5,-0.238095,0,0.5,1,0.25,1,-0.428571,0.625
0.428571,0.156627,-1,-0.122807,-0.964413,-0.52907,1,-0.411765,-0.520497,-1,-0.111111,-0.2,0.226351,0.375,0.2,0.261462,0,-0.384615,1,-0.168701,1,0.367505,-0.0526316,0.55268,0.333333,-0.125,-0.699422,0.656109,0.645857,-1,0.909091,-0.292929,0.367876,1,0.921569,0.891892,0.37598,1,0.72973,0.0344828	-0.847328,0.548387,-1,-0.284692,-0.954545,-0.865505,-0.361702,-0.354839,1,-1,1,-0.25,0.18241,1,0.097561,0.605678,-0.684211,1,-0.290323,-0.605451,-0.212121,0.317801,0.5,0.246291,-0.2,0.75,-0.580645,0.570815,-0.14956,-1,1,-0.477612,0.692308,-0.568966,0.426195,-0.166667,-0.349336,0.538905,0.52381,-0.921569	0.936,-0.428571,0.455782,0.16775,-0.124236,0.620628,1,-0.0666667,-1,0.5,-1,0.0526316,0.0458333,-1,0.104478,-0.408983,0.684211,-1,1,0.486435,1,0.0562771,-0.538462,0.354667,0.5,-0.8,-0.2,0.136364,0.725352,0.5,-1,0.214724,-0.435294,1,0.815789,0.921569,0.641111,1,0.333333,0.926606
-1,0.0566038,-1,-0.922078,-0.705642,-0.243243,-0.431325,-1,-0.166667,-0.210526,0.713262,-0.0833333,0.376559,-0.012487,1,-0.548387,1,-0.350114,-0.260504,0.375752,-0.714286,0.370262,-0.111111,-0.655172,-0.360502,0.578947,0.701342,-1,-0.125,-0.290466,0.23981,-0.333333,1,0.837838,1,0.538462,-0.0204082,-0.653846	-1,-0.184466,-1,-1,-0.294118,-0.85623,-1,-0.709845,0.741697,-1,0,0.011236,0.653979,0.047619,0.0952381,0.514765,-0.652174,0.183099,0.238095,-0.643216,-0.644013,-0.263521,0,-0.0581162,-0.555556,-0.0769231,-0.423729,0.73913,-0.354962,-1,0.4,-0.466667,0.689922,-0.759615,-0.324324,-0.516751,-0.652141,-0.0510949,1,-0.929134	0.864286,0.238579,0.448276,1,-0.861635,0.380457,1,0.563981,-0.888712,0.714286,-0.166667,-0.221239,0.111111,-0.130435,0.291785,-0.523884,1,-0.66474,1,0.378293,0.46082,0.581677,-0.714286,0.419355,0.473684,-0.608939,0.0746269,-0.28,0.845754,0.333333,-0.5,0.20383,-0.539347,0.570815,1,0.945312,1,0.57377,-1,0.701389
-1,0.333333,0.2,1,-0.764706,-0.215259,0.6,-0.428571,-0.399618,0.230769,0.0204082,0,0,0.470952,0,-0.333333,-0.333333,-0.741007,0.73913,0.685393,-1,0.866667,-0.641026,1,0.777003,1,0,0.0769231,-0.357143,0.465649,0.111111,-0.333333,0.230769,-0.465969,-0.131403,1,1	-1,0.333333,0.411765,-0.0526316,-0.428571,-0.35837,0.0810811,1,1,0.882353,-0.489051,1,-1,-0.0526316,0.8507,-0.6,0.2,-0.0769231,-0.761589,0.342282,0.591512,0.527273,-1,-0.333333,-0.42029,0.868132,0.0608696,-0.04,1,-0.595506,0.777778,-0.352252,-0.333333,-0.319838,-0.166861,0.733333,-0.724138,-0.69697	0.937255,0,-0.230769,1,-0.5,0.155074,0.545455,-1,-1,-0.818182,0.504425,-1,1,0.0526316,-0.633588,0.6,-0.5,-0.263158,0.0472441,0.53125,0.157895,-1,0.625,1,-0.391304,1,-0.28,1,0.04,-1,0.302752,-0.489362,0.44591,0,0.512761,-0.324324,-0.788732,1,1
-1,0.411765,-1,-1,-0.636364,-0.573964,0.333333,-0.904762,-0.693617,-0.142857,-0.555556,0.635036,1,-1,-0.375,0,-0.5,0.333333,0.401709,1,-0.0666667,-0.714286,0.717647,0.272727,0.749398,0.8,-1,0.647059,-0.355556,0.639024,-1,-0.333333,1,-0.320755,1,-0.764706,1	-1,0.655172,-1,-1,-0.2,-0.798206,-0.22366,-0.894737,0.565217,-1,0,-0.333333,0.836066,0.6,-1,0.578947,-0.2,1,0,-0.644141,-0.826087,-0.47907,1,0.848101,-1,-1,1,0.493827,-0.260274,-1,0.166667,-0.557252,0.647059,-1,-0.666667,-0.3,-0.890453,0.57047,-0.666667,-0.921569	0.92,-0.333333,0.172414,0.142857,-0.5,0.413839,0.518349,-0.0526316,-0.904306,1,-0.142857,-0.272727,-0.428571,1,0.333333,-0.783784,0.2,-1,0.333333,0.83086,1,0.426009,-1,-0.333333,1,1,-1,0.405714,0.877551,0.5,0.538462,0.251534,-0.0136986,0.444444,0.428571,1,0.797468,1,-0.2,1
1,0.267606,1,0.902439,0.577465,0.498929,1,0.62963,0.135514,0.829787,0.741379,0.774194,0.902597,1,0.923077,0.688245,1,1,1,0.369985,0.815789,0.951494,0.454545,0.391304,1,0.847826,1,0.895477,0.942149,1,1,-0.217666,0.917355,1,0.747368,0.829268,1,0.815668,0.880478,0.703704	1,0.384615,0.948718,0.788991,0.534247,0.658768,0.333333,0.87234,1,1,0.942308,0.885714,1,0.956522,0.973684,0.797083,1,1,1,0.94926,0.916667,0.82171,1,0.52381,1,1,0.447368,0.972803,0.783681,0.65019,1,0.540373,0.8125,0.729958,0.865169,0.807229,0.353349,0.903382,0.918699,0.815789	-0.130435,1,0.393939,0.0625,-0.238095,1,-0.538462,-1,-1,-0.666667,-0.354839,-1,1,-0.5,-0.241107,-0.892857,-0.4,0.594937,-1,-0.166667,-1,1,-0.6,0.605634,1,-0.678261,0.411765,1,-0.333333,0.0666667,1,-0.333333,-0.2,-0.263158
