branch	branch_descendants	Outgroup	H_porteri	H_agrestis	H_gracilentus	H_niveus	H_exilis	H_occidentalis	H_petiolaris	H_annuus	H_argophyllus	H_mollis	H_praecox	H_debilis	H_cusickii	H_arizonensis	H_laciniatus	H_heterophyllus	H_angustifolius	H_floridanus	H_salicifolius	H_divaricatus	H_microcephalus	H_longifolius	H_atrorubens	H_silphioides	H_maximiliani	H_carnosus	H_radula	H_giganteus	H_verticillatus	H_grosseserratus	H_nuttalli
b2	H_exilis,H_annuus,H_argophyllus,H_niveus,H_petiolaris,H_praecox,H_debilis,H_agrestis,H_gracilentus,H_occidentalis,H_mollis,H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula,H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	H_porteri	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	H_agrestis,H_gracilentus,H_occidentalis,H_mollis,H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula,H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	H_exilis,H_annuus,H_argophyllus,H_niveus,H_petiolaris,H_praecox,H_debilis	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	H_gracilentus,H_occidentalis,H_mollis,H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula,H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	nan	nan	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b7	H_agrestis	nan	0	nan	nan	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b8	H_niveus,H_petiolaris,H_praecox,H_debilis	nan	0	0	0	nan	nan	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b9	H_exilis,H_annuus,H_argophyllus	nan	0	0	0	nan	nan	0	nan	nan	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b10	H_occidentalis,H_mollis,H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula,H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	nan	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b11	H_gracilentus	nan	0	0	nan	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b12	H_petiolaris,H_praecox,H_debilis	nan	0	0.0316159	0	nan	0	0.0586536	nan	0	0.0553019	0	nan	nan	0	0.0604045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b13	H_niveus	nan	0	0	0	nan	0	0	nan	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b14	H_annuus,H_argophyllus	nan	0	0	0	0	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b15	H_exilis	nan	0	0	0.0291031	0.0803195	nan	0.0302046	0	nan	nan	0	0	0	0.0438	0.0597782	0.0549644	0	0.0387337	0	0.0304966	0	0.045352	0	0	0.0305638	0.0374558	0	0	0.0392317	0.0888741	0.104271	0
b16	H_mollis,H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula,H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b17	H_occidentalis	nan	0	0	0	0	0	nan	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b18	H_praecox,H_debilis	nan	0	0	0	0	0	0	nan	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b19	H_petiolaris	nan	0	0	0	0.0251732	0	0	nan	0.0326505	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b20	H_annuus	nan	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b21	H_argophyllus	nan	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b22	H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula,H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b23	H_mollis	nan	0	0	0	0	0	0.108969	0	0	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b24	H_praecox	nan	0	0	0	0	0	0	0.148871	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b25	H_debilis	nan	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b26	H_arizonensis,H_laciniatus,H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b27	H_angustifolius,H_floridanus,H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b28	H_cusickii,H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan
b29	H_arizonensis,H_laciniatus	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan
b30	H_heterophyllus,H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0
b31	H_angustifolius,H_floridanus	nan	0	0	0	0	0	0.12141	0	0	0	0.195445	0	0	0	0.079543	0.076464	nan	nan	nan	0.0488017	0.0466891	0.153789	nan	nan	nan	0.129123	nan	nan	0.0434205	0.0939988	0.0958336	0
b32	H_divaricatus,H_microcephalus,H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan
b33	H_cusickii	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan
b34	H_arizonensis	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b35	H_laciniatus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b36	H_atrorubens,H_silphioides,H_longifolius,H_carnosus,H_radula	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0
b37	H_heterophyllus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0
b38	H_angustifolius	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0
b39	H_floridanus	nan	0	0	0	0	0	0	0	0	0	0	0	0.0289555	0	0	0	0	nan	nan	0	0	0	0.050928	0	0	0	0	0	0	0	0	0.0567495
b40	H_salicifolius,H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan
b41	H_divaricatus,H_microcephalus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	0	0	nan	0	0	nan	nan	nan	nan
b42	H_longifolius,H_carnosus,H_radula	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0	nan	nan	0	0	0	0
b43	H_atrorubens,H_silphioides	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0533736	0	0	0	0	0	0	0	nan	nan	nan	0	nan	nan	0.0717122	0	0	0
b44	H_salicifolius	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	0	0	nan	nan	nan	nan
b45	H_maximiliani,H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	0	0	nan	nan	nan	nan
b46	H_divaricatus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0576274	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0
b47	H_microcephalus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0
b48	H_longifolius	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	nan	0	0	0	0
b49	H_carnosus,H_radula	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	nan	0	0	0	0
b50	H_atrorubens	nan	0	0	0	0	0	0	0	0	0	0.0767639	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0
b51	H_silphioides	nan	0	0	0	0	0.0452579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0.080252	0	0	0
b52	H_maximiliani	nan	0	0	0	0.0400994	0	0	0.0405234	0	0.0283112	0	0.0512165	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	nan	nan
b53	H_giganteus,H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	nan	nan
b54	H_carnosus	nan	0	0	0	0	0.0315017	0.0585404	0	0	0	0	0	0	0	0	0	0	0	0	0.0574538	0	0	0	0	0	0	nan	nan	0	0	0	0
b55	H_radula	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0
b56	H_giganteus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan
b57	H_verticillatus,H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan
b58	H_verticillatus	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0855445	nan	nan	nan
b59	H_grosseserratus,H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan
b60	H_grosseserratus	nan	0.0650459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan
b61	H_nuttalli	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan
