P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_agrestis	H_angustifolius	H_annuus	0.033801	0.323878	0.373015	0.0118882	147.603	81.9421	76.5837
H_agrestis	H_angustifolius	H_argophyllus	0.00633408	0.0582065	0.476792	0.00157449	142.09	70.1702	69.2869
H_arizonensis	H_angustifolius	H_agrestis	0.213809	2.08563	0.0185061	0.0507338	88.7095	99.8556	64.677
H_atrorubens	H_angustifolius	H_agrestis	0.0724308	0.718608	0.236191	0.0147358	126.2	76.6107	66.2623
H_carnosus	H_angustifolius	H_agrestis	0.119925	1.11579	0.132256	0.0216897	86.1214	60.806	47.7833
H_cusickii	H_angustifolius	H_agrestis	0.195329	1.88082	0.0299985	0.0472414	97.8544	112.673	75.8488
H_angustifolius	H_agrestis	H_debilis	0.0800321	0.786993	0.215643	0.0244415	130.664	87.6478	74.6581
H_divaricatus	H_angustifolius	H_agrestis	0.0693377	0.63205	0.263677	0.0162318	97.4976	78.7448	68.5329
H_agrestis	H_angustifolius	H_exilis	0.107642	0.909441	0.181559	0.0263439	113.698	83.9333	67.6198
H_angustifolius	H_floridanus	H_agrestis	0.240667	1.99901	0.0228035	0.0219655	309.257	41.1325	25.1746
H_giganteus	H_angustifolius	H_agrestis	0.189143	1.83532	0.0332294	0.0464838	90.8306	104.168	71.0306
H_gracilentus	H_angustifolius	H_agrestis	0.277702	2.81327	0.00245204	0.0699262	72.9103	114.235	64.5782
H_grosseserratus	H_angustifolius	H_agrestis	0.292202	2.79497	0.0025952	0.0641048	120.066	100.286	54.9312
H_heterophyllus	H_angustifolius	H_agrestis	0.0529297	0.574126	0.282941	0.0124462	126.062	88.6509	79.7381
H_laciniatus	H_angustifolius	H_agrestis	0.207201	1.97991	0.023857	0.0528866	88.0611	95.1619	62.4952
H_longifolius	H_angustifolius	H_agrestis	0.167965	1.5316	0.0628109	0.0319488	96.0821	74.1679	52.8357
H_maximiliani	H_angustifolius	H_agrestis	0.216412	2.1795	0.0146472	0.0512553	133.177	112.247	72.3073
H_microcephalus	H_angustifolius	H_agrestis	0.187554	2.01938	0.0217238	0.0445263	128.726	106.589	72.921
H_mollis	H_angustifolius	H_agrestis	0.0406337	0.396878	0.345729	0.00818644	156.128	75.2601	69.3827
H_agrestis	H_angustifolius	H_niveus	0.0663228	0.576398	0.282173	0.0155456	158.665	78.1048	68.3889
H_nuttalli	H_angustifolius	H_agrestis	0.178764	0.906511	0.182333	0.0424751	30.8762	27.3571	19.0595
H_occidentalis	H_angustifolius	H_agrestis	0.297794	3.12287	0.000895482	0.0702143	122.957	100.639	54.4536
