#topo1 (Outgroup,((ano,ann),pet));
#topo2 (Outgroup,((ano,pet),ann));
#topo3 (Outgroup,(ano,(ann,pet)));
topo1	topo2	topo3
64	0	0
64	0	0
0	64	0
0	0	64
32	0	32
0	64	0
0	64	0
0	64	0
0	0	64
0	64	0
0	16	48
0	0	64
0	0	64
0	0	64
64	0	0
0	24	40
64	0	0
0	16	48
24	24	16
64	0	0
0	64	0
32	0	32
64	0	0
64	0	0
64	0	0
32	0	32
64	0	0
8	8	48
48	0	16
64	0	0
0	32	32
8	16	40
0	16	48
12	0	52
24	40	0
0	64	0
64	0	0
0	64	0
16	32	16
64	0	0
0	64	0
16	48	0
0	48	16
12	36	16
36	16	12
8	24	32
0	64	0
0	16	48
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
32	16	16
0	64	0
0	64	0
0	64	0
64	0	0
0	64	0
64	0	0
16	24	24
0	64	0
64	0	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
32	16	16
12	16	36
48	0	16
0	32	32
0	16	48
32	32	0
0	64	0
0	64	0
0	16	48
0	0	64
16	32	16
0	0	64
0	0	64
0	0	64
0	0	64
0	0	64
24	8	32
8	24	32
48	0	16
16	0	48
32	8	24
0	0	64
24	12	28
0	0	64
0	0	64
16	0	48
12	0	52
0	0	64
16	48	0
0	64	0
32	4	28
16	0	48
0	0	64
0	32	32
30	18	16
64	0	0
32	0	32
0	0	64
32	8	24
8	56	0
0	0	64
32	24	8
0	0	64
16	0	48
0	0	64
0	0	64
0	0	64
4	28	32
0	64	0
0	16	48
0	64	0
0	64	0
64	0	0
0	64	0
0	64	0
32	32	0
64	0	0
0	16	48
0	0	64
0	16	48
0	0	64
0	64	0
0	0	64
0	0	64
0	64	0
32	32	0
64	0	0
0	64	0
0	0	64
48	8	8
0	0	64
0	0	64
16	0	48
0	0	64
0	64	0
0	0	64
40	12	12
32	32	0
0	0	64
10	6	48
0	64	0
48	16	0
0	64	0
0	48	16
0	0	64
64	0	0
0	64	0
0	0	64
0	64	0
0	64	0
0	0	64
0	64	0
0	64	0
