#topo1 (Outgroup,((des,ann),pet));
#topo2 (Outgroup,((des,pet),ann));
#topo3 (Outgroup,(des,(ann,pet)));
topo1	topo2	topo3
64	0	0
64	0	0
0	64	0
0	0	64
32	0	32
0	64	0
0	64	0
0	64	0
0	0	64
0	64	0
0	16	48
0	0	64
0	0	64
0	0	64
64	0	0
0	24	40
64	0	0
0	16	48
48	0	16
64	0	0
0	64	0
32	0	32
64	0	0
64	0	0
64	0	0
32	0	32
64	0	0
32	8	24
48	0	16
64	0	0
0	32	32
8	16	40
0	16	48
12	0	52
24	40	0
0	64	0
64	0	0
0	64	0
0	0	64
64	0	0
0	64	0
16	48	0
0	48	16
24	24	16
28	24	12
16	48	0
0	64	0
0	16	48
0	64	0
0	64	0
0	0	64
0	0	64
0	64	0
0	64	0
32	16	16
0	64	0
0	64	0
0	64	0
64	0	0
0	64	0
0	0	64
16	48	0
0	64	0
64	0	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
32	16	16
12	48	4
0	32	32
48	0	16
16	0	48
32	32	0
0	64	0
0	64	0
0	16	48
0	0	64
0	32	32
0	0	64
8	56	0
0	0	64
0	0	64
16	32	16
12	20	32
8	24	32
28	0	36
0	0	64
32	8	24
0	0	64
24	12	28
0	0	64
32	8	24
16	0	48
12	0	52
0	0	64
16	48	0
0	32	32
32	4	28
0	0	64
16	16	32
8	40	16
36	12	16
64	0	0
0	32	32
32	0	32
24	32	8
8	32	24
24	8	32
32	24	8
0	0	64
16	0	48
0	64	0
0	64	0
0	0	64
28	4	32
0	64	0
0	16	48
0	64	0
0	64	0
0	64	0
0	64	0
0	64	0
32	32	0
64	0	0
64	0	0
0	0	64
0	16	48
0	0	64
0	64	0
0	0	64
0	64	0
0	64	0
32	32	0
64	0	0
64	0	0
0	0	64
48	16	0
0	0	64
0	0	64
16	0	48
64	0	0
0	64	0
0	0	64
40	12	12
16	32	16
0	0	64
0	16	48
64	0	0
0	48	16
0	64	0
6	50	8
0	16	48
0	0	64
0	64	0
0	0	64
0	64	0
64	0	0
0	32	32
64	0	0
0	64	0
24	32	8
