#topo1 (Outgroup,((par,ann),pet));
#topo2 (Outgroup,((par,pet),ann));
#topo3 (Outgroup,(par,(ann,pet)));
topo1	topo2	topo3
0	64	0
0	0	64
0	0	64
0	48	16
64	0	0
0	64	0
0	64	0
0	64	0
64	0	0
0	64	0
14	26	24
0	64	0
0	48	16
0	0	64
64	0	0
8	56	0
64	0	0
0	16	48
0	48	16
64	0	0
64	0	0
32	0	32
64	0	0
32	0	32
64	0	0
64	0	0
32	0	32
8	8	48
0	0	64
64	0	0
24	24	16
28	0	36
0	16	48
12	0	52
24	40	0
0	32	32
0	0	64
0	64	0
48	16	0
32	0	32
0	0	64
16	48	0
64	0	0
0	48	16
24	18	22
0	0	64
0	0	64
48	0	16
0	64	0
64	0	0
0	0	64
0	32	32
0	64	0
0	0	64
32	0	32
0	64	0
0	64	0
0	0	64
0	64	0
64	0	0
64	0	0
0	16	48
64	0	0
0	64	0
0	64	0
0	64	0
0	0	64
0	0	64
64	0	0
0	64	0
0	0	64
0	16	48
12	48	4
0	0	64
0	0	64
64	0	0
32	32	0
0	0	64
64	0	0
32	8	24
16	8	40
32	32	0
32	0	32
32	32	0
40	8	16
16	48	0
40	16	8
18	18	28
8	40	16
24	16	24
16	24	24
16	4	44
16	48	0
8	28	28
0	0	64
32	8	24
16	48	0
16	32	16
0	0	64
40	24	0
0	32	32
28	12	24
16	0	48
12	12	40
24	24	16
56	0	8
0	0	64
0	32	32
0	0	64
32	8	24
8	56	0
16	28	20
24	28	12
32	32	0
32	8	24
0	64	0
0	64	0
0	64	0
28	28	8
64	0	0
16	48	0
64	0	0
0	0	64
64	0	0
64	0	0
0	64	0
64	0	0
0	48	16
0	8	56
0	32	32
0	0	64
0	0	64
64	0	0
0	0	64
64	0	0
32	32	0
32	0	32
64	0	0
64	0	0
64	0	0
52	4	8
40	0	24
32	32	0
64	0	0
0	0	64
64	0	0
64	0	0
40	12	12
0	64	0
0	0	64
16	0	48
64	0	0
56	8	0
0	64	0
12	52	0
16	16	32
0	32	32
64	0	0
48	0	16
64	0	0
0	64	0
0	64	0
64	0	0
0	64	0
28	20	16
64	0	0
0	16	48
0	0	64
0	64	0
12	24	28
0	64	0
0	0	64
20	16	28
64	0	0
64	0	0
64	0	0
64	0	0
64	0	0
24	8	32
64	0	0
64	0	0
48	16	0
64	0	0
0	64	0
0	64	0
64	0	0
64	0	0
0	24	40
0	0	64
64	0	0
64	0	0
16	48	0
0	32	32
64	0	0
0	0	64
64	0	0
24	16	24
64	0	0
64	0	0
64	0	0
64	0	0
0	64	0
24	32	8
30	8	26
48	8	8
32	24	8
16	0	48
16	16	32
4	8	52
12	40	12
32	0	32
0	0	64
32	8	24
0	0	64
0	0	64
0	0	64
0	16	48
32	0	32
0	64	0
64	0	0
0	64	0
32	32	0
0	16	48
64	0	0
0	64	0
32	16	16
0	0	64
40	8	16
8	24	32
32	24	8
32	32	0
0	32	32
28	28	8
48	0	16
32	12	20
0	48	16
36	8	20
22	20	22
0	0	64
64	0	0
0	0	64
56	0	8
40	24	0
0	16	48
32	16	16
32	6	26
28	24	12
64	0	0
0	64	0
12	24	28
64	0	0
24	16	24
52	8	4
32	0	32
