#topo1 (Outgroup,((ann,pet_fal),des));
#topo2 (Outgroup,((ann,des),pet_fal));
#topo3 (Outgroup,(ann,(pet_fal,des)));
topo1	topo2	topo3
0	32	0
0	32	0
0	0	32
32	0	0
0	32	0
0	0	32
0	0	32
0	0	32
32	0	0
0	0	32
16	0	16
32	0	0
32	0	0
32	0	0
0	32	0
20	0	12
0	32	0
24	0	8
16	16	0
0	32	0
0	0	32
16	16	0
0	32	0
0	32	0
0	32	0
16	16	0
0	32	0
12	16	4
0	32	0
0	32	0
16	0	16
24	8	0
32	0	0
28	4	0
0	8	24
0	0	32
0	32	0
0	0	32
32	0	0
0	32	0
0	0	32
0	0	32
16	0	16
0	16	16
0	8	24
0	16	16
0	0	32
16	0	16
0	0	32
0	0	32
32	0	0
32	0	0
0	0	32
0	0	32
0	16	16
0	0	32
0	0	32
0	0	32
0	32	0
0	0	32
32	0	0
0	16	16
0	0	32
0	32	0
0	0	32
0	0	32
0	0	32
0	0	32
0	0	32
0	0	32
0	0	32
16	0	16
4	12	16
32	0	0
8	24	0
16	16	0
0	0	32
0	0	32
0	0	32
24	0	8
32	0	0
16	0	16
32	0	0
0	0	32
32	0	0
32	0	0
0	0	32
16	8	8
16	0	16
22	10	0
32	0	0
8	16	8
32	0	0
18	14	0
32	0	0
8	16	8
32	0	0
32	0	0
32	0	0
0	0	32
16	0	16
8	20	4
32	0	0
16	8	8
0	0	32
0	24	8
0	32	0
16	0	16
32	0	0
8	16	8
16	0	16
16	16	0
8	8	16
32	0	0
32	0	0
0	0	32
0	0	32
32	0	0
16	12	4
0	0	32
16	0	16
0	0	32
0	0	32
0	0	32
0	0	32
0	0	32
0	32	0
0	32	0
0	32	0
32	0	0
16	0	16
32	0	0
0	0	32
32	0	0
0	0	32
0	0	32
0	16	16
0	32	0
0	32	0
32	0	0
0	24	8
32	0	0
32	0	0
16	16	0
0	32	0
0	0	32
32	0	0
4	16	12
8	8	16
32	0	0
16	0	16
0	32	0
16	0	16
0	0	32
4	4	24
32	0	0
32	0	0
0	0	32
32	0	0
0	0	32
0	32	0
16	0	16
0	32	0
0	0	32
0	8	24
0	16	16
8	24	0
0	0	32
0	0	32
24	8	0
12	0	20
0	0	32
32	0	0
0	0	32
0	32	0
0	0	32
0	0	32
0	0	32
0	0	32
16	0	16
0	32	0
16	0	16
0	0	32
0	0	32
0	0	32
0	0	32
0	0	32
0	32	0
16	0	16
0	32	0
0	0	32
20	12	0
8	16	8
0	0	32
0	0	32
32	0	0
0	16	16
0	0	32
0	0	32
32	0	0
0	0	32
0	0	32
0	0	32
0	16	16
32	0	0
16	16	0
16	16	0
32	0	0
16	8	8
4	4	24
0	0	32
0	0	32
16	16	0
32	0	0
0	0	32
32	0	0
0	16	16
0	0	32
0	0	32
0	0	32
0	0	32
32	0	0
32	0	0
32	0	0
0	0	32
32	0	0
16	0	16
16	16	0
0	0	32
24	8	0
0	0	32
16	0	16
16	0	16
0	32	0
2	6	24
16	16	0
16	0	16
16	4	12
32	0	0
0	32	0
0	32	0
24	0	8
24	8	0
32	0	0
0	32	0
20	12	0
32	0	0
32	0	0
32	0	0
0	0	32
8	12	12
8	0	24
16	0	16
16	0	16
0	32	0
0	0	32
32	0	0
0	0	32
0	16	16
0	16	16
0	16	16
0	0	32
0	0	32
0	0	32
32	0	0
0	0	32
16	0	16
0	16	16
32	0	0
0	0	32
0	32	0
16	0	16
32	0	0
32	0	0
16	0	16
32	0	0
0	32	0
32	0	0
7	11	14
16	0	16
16	0	16
4	8	20
