#topo1 (Outgroup,((ann,pet_fal),par));
#topo2 (Outgroup,((ann,par),pet_fal));
#topo3 (Outgroup,(ann,(pet_fal,par)));
topo1	topo2	topo3
0	0	32
32	0	0
32	0	0
16	0	16
0	32	0
0	0	32
0	0	32
0	0	32
0	32	0
0	0	32
8	14	10
0	0	32
16	0	16
32	0	0
0	32	0
0	8	24
0	32	0
24	0	8
16	0	16
0	32	0
0	32	0
16	16	0
0	32	0
16	16	0
0	32	0
0	32	0
16	16	0
24	4	4
32	0	0
0	32	0
8	8	16
20	12	0
32	0	0
28	4	0
0	8	24
16	0	16
32	0	0
0	0	32
0	32	0
16	16	0
32	0	0
0	0	32
0	32	0
0	0	32
18	14	0
32	0	0
32	0	0
16	16	0
0	0	32
0	32	0
32	0	0
16	0	16
0	0	32
32	0	0
16	16	0
0	0	32
0	0	32
32	0	0
0	0	32
0	32	0
0	32	0
16	0	16
0	32	0
0	0	32
0	0	32
0	0	32
32	0	0
32	0	0
0	32	0
0	0	32
32	0	0
32	0	0
4	12	16
32	0	0
32	0	0
0	32	0
0	0	32
32	0	0
0	32	0
12	16	4
16	8	8
0	16	16
16	16	0
0	16	16
16	16	0
0	0	32
0	16	16
12	8	12
0	0	32
16	8	8
8	16	8
20	8	4
0	0	32
10	0	22
32	0	0
8	16	8
0	0	32
8	0	24
32	0	0
0	16	16
16	0	16
8	20	4
32	0	0
20	4	8
8	16	8
0	32	0
32	0	0
16	0	16
32	0	0
8	16	8
0	0	32
8	8	16
12	4	16
0	16	16
16	16	0
0	0	32
0	0	32
0	0	32
8	12	12
0	32	0
0	16	16
0	32	0
32	0	0
0	32	0
0	32	0
0	0	32
0	32	0
8	0	24
24	0	8
0	0	32
32	0	0
32	0	0
0	32	0
32	0	0
0	32	0
0	16	16
16	16	0
0	32	0
0	32	0
0	32	0
4	26	2
24	8	0
0	16	16
0	32	0
32	0	0
0	32	0
0	32	0
4	16	12
0	0	32
32	0	0
16	16	0
0	32	0
0	24	8
0	0	32
0	8	24
24	8	0
16	0	16
0	32	0
8	24	0
0	32	0
0	0	32
0	0	32
0	32	0
0	0	32
8	16	8
0	32	0
24	0	8
32	0	0
0	0	32
8	0	24
0	0	32
32	0	0
12	12	8
0	32	0
0	32	0
0	32	0
0	32	0
0	32	0
16	12	4
0	32	0
0	32	0
0	32	0
0	32	0
0	0	32
0	0	32
0	32	0
0	32	0
16	0	16
32	0	0
0	32	0
0	32	0
0	16	16
16	0	16
0	32	0
32	0	0
0	32	0
8	16	8
0	32	0
0	32	0
0	32	0
0	32	0
0	0	32
8	24	0
14	10	8
8	16	8
8	16	8
16	16	0
16	8	8
20	4	8
4	4	24
16	16	0
32	0	0
8	16	8
32	0	0
32	0	0
32	0	0
16	0	16
16	16	0
0	0	32
0	32	0
0	0	32
0	16	16
16	0	16
0	32	0
0	0	32
16	16	0
32	0	0
16	16	0
16	0	16
4	16	12
0	16	16
16	0	16
8	12	12
0	32	0
4	16	12
16	0	16
10	18	4
20	4	8
32	0	0
0	32	0
32	0	0
4	28	0
0	20	12
16	0	16
8	16	8
10	16	6
12	4	16
0	32	0
0	0	32
16	0	16
0	32	0
12	12	8
4	20	8
16	16	0
32	0	0
0	0	32
16	0	16
0	32	0
32	0	0
0	8	24
32	0	0
16	16	0
0	0	32
0	0	32
16	0	16
0	0	32
16	0	16
0	16	16
32	0	0
0	32	0
0	16	16
0	16	16
16	12	4
8	24	0
24	8	0
8	16	8
8	16	8
16	0	16
16	5	11
8	16	8
24	8	0
4	20	8
8	24	0
8	24	0
16	0	16
8	14	10
20	4	8
0	32	0
32	0	0
0	24	8
0	32	0
32	0	0
8	16	8
24	8	0
16	0	16
0	16	16
24	8	0
24	8	0
16	16	0
12	12	8
16	16	0
16	8	8
16	16	0
16	8	8
32	0	0
32	0	0
8	12	12
24	4	4
8	4	20
12	0	20
0	20	12
20	12	0
8	12	12
20	8	4
0	32	0
32	0	0
0	32	0
0	0	32
0	32	0
8	24	0
8	12	12
0	0	32
16	16	0
0	32	0
0	0	32
0	24	8
0	16	16
0	24	8
32	0	0
0	0	32
0	16	16
0	16	16
0	16	16
0	16	16
8	16	8
0	0	32
0	16	16
0	32	0
32	0	0
0	0	32
0	32	0
32	0	0
0	0	32
16	0	16
0	16	16
32	0	0
6	0	26
0	0	32
0	0	32
0	0	32
0	0	32
0	32	0
0	0	32
12	4	16
8	20	4
0	0	32
32	0	0
0	32	0
0	16	16
0	0	32
32	0	0
0	0	32
32	0	0
32	0	0
0	8	24
0	0	32
0	32	0
0	0	32
12	12	8
32	0	0
32	0	0
0	32	0
0	0	32
16	0	16
32	0	0
0	16	16
0	0	32
0	0	32
32	0	0
0	0	32
0	16	16
16	0	16
32	0	0
2	14	16
0	0	32
0	16	16
32	0	0
0	16	16
0	32	0
0	32	0
0	32	0
16	16	0
32	0	0
32	0	0
0	16	16
12	16	4
0	32	0
24	8	0
0	0	32
0	10	22
0	0	32
0	0	32
16	0	16
0	0	32
0	32	0
0	16	16
16	0	16
0	32	0
32	0	0
24	0	8
16	0	16
0	32	0
0	0	32
8	8	16
16	0	16
0	32	0
0	0	32
0	0	32
32	0	0
16	0	16
0	0	32
0	24	8
16	16	0
0	32	0
32	0	0
32	0	0
0	32	0
0	32	0
4	8	20
32	0	0
8	24	0
0	0	32
0	32	0
14	0	18
0	8	24
8	16	8
0	0	32
0	16	16
28	4	0
0	32	0
0	16	16
32	0	0
32	0	0
0	32	0
8	0	24
32	0	0
0	32	0
24	8	0
0	16	16
0	32	0
0	32	0
0	32	0
0	0	32
0	32	0
0	32	0
28	0	4
32	0	0
32	0	0
8	0	24
0	0	32
0	32	0
10	6	16
0	32	0
0	16	16
0	0	32
16	0	16
0	16	16
0	32	0
0	0	32
0	16	16
6	8	18
8	8	16
0	0	32
0	0	32
0	0	32
0	16	16
32	0	0
0	16	16
8	8	16
0	32	0
16	0	16
0	16	16
8	12	12
8	12	12
32	0	0
0	16	16
16	0	16
0	24	8
8	8	16
0	32	0
0	0	32
16	8	8
0	0	32
0	0	32
0	32	0
0	0	32
4	0	28
0	0	32
16	0	16
0	0	32
8	0	24
8	0	24
0	0	32
0	16	16
10	8	14
0	0	32
0	0	32
0	32	0
0	0	32
8	8	16
0	32	0
32	0	0
16	16	0
8	0	24
0	32	0
0	16	16
4	0	28
0	0	32
0	24	8
16	16	0
16	0	16
0	16	16
16	16	0
0	16	16
32	0	0
0	32	0
0	0	32
