#topo1 (OUTGROUP,((ann,pet),ano));
#topo2 (OUTGROUP,((ann,ano),pet));
#topo3 (OUTGROUP,(ann,(pet,ano)));
topo1	topo2	topo3
0	128	128
0	192	64
0	0	256
192	0	64
128	64	64
0	112	144
0	48	208
48	0	208
256	0	0
0	0	256
184	24	48
256	0	0
256	0	0
256	0	0
0	256	0
160	0	96
0	256	0
144	64	48
80	88	88
0	256	0
0	0	256
128	128	0
0	256	0
32	160	64
0	256	0
128	128	0
0	256	0
144	96	16
32	224	0
40	200	16
112	0	144
120	48	88
192	0	64
104	104	48
0	32	224
0	0	256
0	256	0
0	0	256
96	96	64
0	192	64
0	0	256
64	32	160
48	32	176
40	66	150
36	204	16
128	16	112
96	32	128
160	0	96
0	0	256
0	0	256
0	0	256
0	64	192
32	8	216
0	0	256
48	96	112
32	128	96
0	0	256
48	0	208
0	256	0
0	0	256
0	256	0
40	96	120
0	0	256
32	128	96
0	0	256
0	0	256
0	16	240
0	0	256
0	0	256
0	0	256
64	0	192
96	128	32
152	40	64
24	224	8
128	64	64
192	0	64
0	128	128
0	0	256
128	0	128
144	48	64
256	0	0
128	48	80
224	32	0
256	0	0
192	64	0
256	0	0
256	0	0
76	168	12
152	24	80
16	136	104
128	96	32
32	216	8
160	32	64
106	90	60
256	0	0
256	0	0
160	96	0
184	72	0
192	0	64
32	96	128
0	32	224
72	104	80
144	64	48
192	32	32
144	40	72
80	100	76
16	128	112
168	64	24
192	0	64
88	104	64
0	24	232
240	0	16
8	152	96
192	0	64
128	24	104
256	0	0
256	0	0
256	0	0
96	36	124
0	0	256
96	64	96
0	64	192
0	0	256
0	128	128
0	64	192
32	72	152
32	128	96
96	136	24
112	80	64
256	0	0
192	0	64
224	24	8
0	128	128
104	120	32
192	64	0
64	0	192
32	96	128
0	256	0
0	0	256
192	64	0
48	148	60
128	64	64
224	32	0
96	160	0
160	96	0
80	64	112
256	0	0
44	144	68
24	168	64
256	0	0
208	20	28
32	0	224
8	200	48
0	0	256
56	0	200
256	0	0
16	240	0
0	0	256
136	0	120
0	0	256
0	128	128
192	64	0
64	0	192
64	0	192
120	72	64
88	16	152
112	96	48
0	96	160
120	16	120
60	60	136
0	0	256
0	32	224
32	208	16
0	0	256
48	128	80
0	64	192
64	0	192
0	0	256
0	48	208
16	0	240
48	96	112
48	112	96
64	0	192
0	0	256
0	0	256
0	0	256
64	192	0
64	64	128
128	0	128
0	256	0
32	0	224
72	84	100
128	80	48
0	64	192
0	64	192
192	0	64
80	160	16
0	64	192
0	32	224
0	256	0
0	0	256
0	0	256
48	16	192
66	122	68
160	96	0
72	128	56
80	96	80
56	8	192
188	48	20
64	70	122
64	32	160
0	64	192
96	32	128
96	64	96
64	64	128
0	192	64
224	32	0
128	128	0
0	0	256
0	64	192
256	0	0
256	0	0
112	64	80
256	0	0
64	0	192
144	80	32
128	64	64
128	124	4
112	96	48
192	48	16
256	0	0
144	64	48
192	64	0
48	32	176
48	66	142
138	50	68
18	76	162
100	108	48
64	128	64
0	256	0
0	256	0
152	0	104
200	48	8
128	128	0
32	208	16
156	36	64
224	0	32
256	0	0
96	0	160
96	64	96
68	136	52
64	16	176
64	0	192
192	64	0
64	136	56
64	0	192
112	36	108
0	0	256
96	112	48
64	128	64
64	80	112
0	96	160
64	0	192
64	0	192
256	0	0
0	64	192
160	32	64
24	40	192
128	64	64
0	0	256
0	256	0
144	72	40
256	0	0
256	0	0
80	8	168
96	128	32
0	192	64
256	0	0
48	50	158
64	0	192
56	48	152
36	124	96
160	96	0
192	0	64
104	28	124
160	58	38
24	24	208
224	0	32
128	32	96
32	224	0
64	0	192
224	0	32
48	128	80
256	0	0
0	48	208
64	88	104
176	16	64
16	192	48
64	80	112
58	128	70
256	0	0
48	64	144
192	0	64
132	58	66
160	48	48
32	192	32
76	56	124
192	32	32
120	64	72
48	112	96
48	38	170
112	32	112
8	72	176
192	0	64
128	128	0
0	32	224
256	0	0
8	0	248
0	0	256
128	0	128
100	60	96
128	128	0
96	160	0
0	0	256
0	0	256
256	0	0
0	0	256
128	112	16
16	128	112
0	0	256
16	144	96
48	176	32
32	160	64
216	24	16
216	40	0
16	16	224
32	192	32
0	224	32
96	64	96
192	0	64
208	0	48
256	0	0
256	0	0
112	80	64
0	256	0
160	64	32
84	48	124
0	96	160
0	64	192
0	0	256
168	64	24
256	0	0
0	64	192
136	72	48
96	160	0
16	224	16
48	64	144
256	0	0
256	0	0
0	0	256
192	64	0
200	56	0
0	128	128
256	0	0
192	64	0
256	0	0
256	0	0
0	32	224
72	152	32
224	0	32
0	224	32
112	96	48
144	64	48
0	104	152
0	32	224
64	0	192
0	0	256
0	0	256
0	0	256
0	64	192
128	128	0
64	96	96
256	0	0
146	54	56
128	0	128
48	0	208
96	72	88
0	48	208
16	48	192
0	192	64
84	84	88
192	64	0
0	0	256
0	64	192
48	40	168
34	176	46
0	0	256
0	24	232
0	0	256
20	0	236
0	0	256
240	0	16
0	0	256
0	0	256
0	0	256
48	0	208
112	144	0
64	0	192
256	0	0
96	0	160
0	0	256
168	24	64
0	0	256
56	24	176
144	48	64
0	0	256
0	0	256
0	0	256
224	32	0
32	160	64
0	0	256
160	0	96
0	0	256
48	16	192
0	0	256
64	0	192
0	0	256
0	0	256
0	0	256
256	0	0
54	202	0
0	128	128
0	224	32
118	56	82
0	0	256
64	64	128
0	96	160
64	0	192
160	32	64
64	192	0
0	256	0
48	0	208
192	64	0
64	0	192
84	16	156
192	0	64
96	0	160
32	0	224
0	128	128
64	128	64
0	256	0
64	192	0
64	0	192
64	192	0
256	0	0
16	8	232
192	0	64
0	40	216
48	0	208
0	0	256
96	32	128
94	50	112
160	0	96
0	64	192
0	0	256
32	0	224
16	48	192
0	64	192
8	104	144
32	208	16
176	32	48
192	64	0
192	64	0
96	32	128
0	64	192
32	56	168
192	64	0
128	32	96
204	40	12
0	192	64
240	16	0
0	192	64
12	8	236
72	108	76
224	0	32
40	176	40
128	40	88
256	0	0
64	0	192
96	120	40
256	0	0
60	36	160
0	64	192
32	0	224
56	96	104
80	16	160
50	18	188
0	64	192
48	0	208
128	64	64
192	0	64
256	0	0
224	0	32
192	32	32
150	36	70
192	0	64
0	0	256
64	96	96
0	0	256
30	128	98
0	224	32
24	128	104
0	8	248
96	96	64
0	0	256
0	0	256
56	8	192
96	128	32
48	190	18
0	0	256
80	72	104
256	0	0
48	96	112
192	64	0
128	0	128
0	64	192
96	64	96
62	134	60
192	64	0
224	0	32
232	24	0
224	32	0
84	120	52
164	48	44
256	0	0
116	12	128
32	40	184
72	112	72
144	80	32
32	224	0
0	224	32
96	0	160
192	64	0
32	192	32
128	64	64
24	200	32
160	96	0
128	0	128
192	0	64
32	0	224
192	0	64
96	16	144
256	0	0
192	0	64
16	56	184
256	0	0
112	128	16
0	0	256
96	64	96
256	0	0
256	0	0
32	224	0
0	256	0
32	192	32
160	0	96
148	0	108
40	24	192
0	128	128
128	64	64
0	0	256
128	0	128
256	0	0
96	160	0
160	96	0
128	128	0
96	160	0
64	0	192
48	112	96
140	92	24
128	32	96
256	0	0
96	64	96
24	184	48
80	128	48
