#topo1 (OUTGROUP,((ann,pet),des));
#topo2 (OUTGROUP,((ann,des),pet));
#topo3 (OUTGROUP,(ann,(pet,des)));
topo1	topo2	topo3
0	128	128
0	192	64
0	0	256
256	0	0
128	64	64
32	64	160
0	48	208
48	0	208
256	0	0
0	0	256
184	24	48
256	0	0
256	0	0
256	0	0
0	256	0
160	0	96
0	256	0
144	64	48
80	168	8
0	256	0
0	0	256
128	128	0
0	256	0
32	160	64
0	256	0
128	128	0
0	256	0
48	144	64
32	224	0
40	200	16
84	16	156
128	72	56
192	0	64
96	96	64
0	32	224
0	0	256
0	256	0
0	0	256
256	0	0
0	192	64
0	0	256
64	32	160
48	32	176
32	128	96
36	180	40
0	32	224
96	16	144
160	0	96
0	0	256
0	0	256
256	0	0
192	48	16
32	8	216
0	0	256
48	96	112
64	80	112
0	0	256
48	0	208
0	256	0
0	0	256
256	0	0
0	96	160
0	0	256
0	128	128
0	0	256
0	0	256
0	16	240
0	0	256
0	0	256
0	0	256
64	0	192
96	128	32
64	48	144
96	32	128
16	240	0
128	64	64
0	128	128
0	0	256
128	0	128
144	48	64
256	0	0
168	24	64
224	32	0
48	48	160
192	64	0
256	0	0
32	96	128
64	36	156
152	24	80
60	144	52
192	64	0
32	216	8
160	32	64
106	90	60
256	0	0
72	112	72
160	96	0
184	72	0
192	0	64
32	96	128
112	32	112
72	104	80
224	32	0
88	112	56
64	128	64
104	104	48
16	128	112
176	24	56
96	96	64
64	96	96
40	24	192
88	96	72
8	152	96
192	0	64
128	24	104
0	64	192
96	64	96
192	0	64
96	124	36
0	0	256
96	64	96
0	64	192
0	0	256
128	0	128
0	64	192
32	72	152
32	160	64
96	136	24
48	96	112
256	0	0
192	0	64
224	24	8
0	128	128
216	0	40
64	64	128
64	0	192
32	96	128
0	128	128
0	256	0
192	64	0
48	140	68
128	64	64
224	32	0
96	160	0
0	256	0
128	32	96
256	0	0
12	176	68
108	32	116
256	0	0
224	0	32
32	224	0
128	0	128
0	0	256
32	24	200
224	0	32
192	64	0
0	0	256
120	0	136
0	0	256
128	128	0
96	88	72
0	192	64
64	0	192
16	192	48
8	80	168
112	96	48
0	96	160
120	16	120
172	64	20
112	0	144
0	32	224
224	0	32
0	0	256
48	128	80
0	64	192
64	0	192
0	0	256
0	48	208
16	0	240
48	96	112
48	112	96
64	0	192
0	0	256
0	0	256
0	0	256
64	0	192
64	96	96
128	0	128
0	256	0
32	0	224
136	40	80
56	112	88
0	64	192
0	64	192
192	0	64
16	96	144
0	64	192
0	32	224
128	64	64
0	0	256
0	0	256
48	16	192
64	140	52
256	0	0
120	80	56
80	176	0
256	0	0
120	100	36
44	76	136
64	32	160
0	64	192
96	32	128
96	64	96
64	64	128
128	0	128
64	32	160
32	0	224
0	0	256
0	64	192
64	0	192
128	64	64
112	64	80
256	0	0
64	0	192
176	32	48
32	192	32
32	216	8
16	48	192
192	48	16
120	0	136
144	64	48
80	112	64
48	32	176
48	66	142
86	124	46
82	28	146
76	120	60
128	128	0
0	256	0
0	256	0
152	0	104
200	48	8
128	128	0
32	208	16
156	36	64
192	0	64
256	0	0
96	0	160
96	64	96
68	136	52
64	16	176
64	0	192
192	0	64
64	176	16
64	0	192
152	28	76
0	0	256
96	112	48
64	128	64
16	200	40
0	96	160
0	80	176
64	0	192
256	0	0
0	64	192
160	32	64
24	88	144
128	64	64
0	0	256
64	192	0
144	72	40
256	0	0
256	0	0
56	32	168
112	112	32
0	192	64
256	0	0
42	56	158
64	0	192
56	48	152
36	124	96
160	96	0
56	192	8
256	0	0
160	58	38
24	24	208
224	0	32
128	32	96
32	224	0
64	0	192
224	0	32
128	32	96
256	0	0
0	48	208
72	64	120
176	16	64
128	128	0
24	56	176
182	34	40
256	0	0
48	64	144
192	0	64
94	70	92
24	56	176
32	224	0
76	56	124
192	32	32
120	64	72
208	48	0
48	38	170
64	80	112
8	72	176
192	0	64
128	128	0
128	0	128
256	0	0
8	0	248
0	0	256
0	0	256
40	204	12
128	128	0
96	160	0
0	256	0
0	0	256
256	0	0
0	0	256
64	32	160
16	128	112
0	0	256
16	144	96
48	176	32
32	160	64
216	24	16
96	0	160
16	16	224
64	160	32
144	0	112
96	64	96
192	0	64
208	0	48
256	0	0
256	0	0
112	80	64
0	256	0
160	64	32
44	80	132
0	96	160
192	0	64
0	0	256
168	56	32
256	0	0
96	64	96
108	112	36
96	160	0
32	0	224
48	64	144
256	0	0
32	224	0
0	0	256
192	64	0
104	56	96
0	128	128
0	0	256
0	0	256
0	0	256
0	224	32
0	32	224
72	128	56
224	0	32
0	224	32
112	96	48
0	0	256
32	168	56
0	32	224
64	0	192
0	0	256
0	0	256
0	0	256
0	256	0
128	128	0
32	192	32
0	64	192
146	54	56
128	0	128
48	0	208
96	72	88
0	48	208
64	0	192
0	192	64
100	68	88
176	64	16
0	0	256
0	64	192
48	104	104
34	176	46
0	0	256
40	24	192
0	0	256
20	0	236
256	0	0
0	32	224
0	0	256
0	0	256
0	0	256
48	0	208
112	144	0
64	0	192
256	0	0
64	64	128
0	0	256
0	96	160
0	0	256
56	24	176
144	48	64
0	0	256
0	0	256
0	0	256
0	32	224
32	160	64
64	128	64
160	0	96
0	0	256
48	16	192
0	0	256
64	0	192
0	0	256
0	0	256
0	0	256
256	0	0
26	168	62
0	128	128
0	256	0
74	114	68
0	0	256
28	84	144
0	96	160
64	0	192
160	32	64
64	0	192
0	256	0
48	0	208
192	64	0
64	0	192
84	16	156
192	0	64
96	0	160
32	0	224
0	128	128
32	224	0
0	256	0
64	192	0
64	0	192
64	192	0
224	0	32
0	48	208
192	0	64
0	40	216
48	0	208
0	0	256
256	0	0
114	46	96
0	176	80
0	64	192
0	0	256
32	0	224
16	48	192
0	64	192
8	104	144
96	144	16
208	16	32
96	32	128
0	64	192
96	32	128
0	64	192
32	56	168
192	64	0
88	72	96
8	52	196
0	192	64
256	0	0
0	192	64
68	8	180
48	184	24
224	0	32
40	176	40
0	80	176
0	208	48
64	0	192
96	120	40
256	0	0
108	40	108
0	64	192
32	0	224
80	32	144
80	16	160
198	52	6
96	128	32
48	0	208
128	64	64
192	0	64
8	0	248
224	0	32
192	32	32
150	36	70
0	64	192
0	0	256
64	96	96
0	0	256
78	72	106
0	224	32
24	128	104
256	0	0
96	96	64
0	0	256
0	0	256
48	8	200
0	64	192
24	174	58
0	0	256
80	72	104
256	0	0
32	16	208
192	64	0
128	0	128
0	64	192
192	64	0
62	134	60
168	0	88
224	0	32
8	160	88
224	32	0
172	12	72
76	132	48
256	0	0
116	12	128
32	40	184
128	72	56
192	32	32
32	224	0
0	192	64
96	0	160
192	64	0
32	192	32
128	64	64
120	64	72
96	160	0
128	0	128
192	0	64
32	0	224
192	0	64
96	16	144
256	0	0
192	0	64
16	56	184
192	64	0
112	128	16
0	0	256
96	64	96
256	0	0
256	0	0
32	224	0
0	256	0
32	192	32
64	192	0
148	0	108
40	24	192
0	128	128
128	64	64
0	0	256
128	0	128
0	128	128
96	128	32
224	0	32
128	128	0
128	128	0
64	0	192
48	112	96
140	92	24
128	32	96
256	0	0
0	160	96
96	0	160
32	192	32
112	0	144
