#topo1 (OUTGROUP,((ann,pet),par));
#topo2 (OUTGROUP,((ann,par),pet));
#topo3 (OUTGROUP,(ann,(pet,par)));
topo1	topo2	topo3
0	0	256
208	48	0
256	0	0
32	64	160
0	256	0
0	112	144
0	48	208
48	0	208
128	128	0
0	0	256
92	72	92
0	0	256
32	0	224
192	64	0
0	256	0
0	48	208
0	256	0
144	64	48
24	60	172
0	256	0
0	256	0
128	128	0
0	256	0
112	112	32
0	256	0
0	256	0
128	128	0
144	48	64
192	64	0
40	200	16
64	88	104
116	80	60
192	0	64
208	36	12
0	32	224
128	0	128
256	0	0
0	0	256
0	160	96
96	104	56
256	0	0
64	32	160
0	96	160
48	4	204
74	56	126
256	0	0
256	0	0
80	160	16
0	0	256
0	256	0
256	0	0
144	56	56
44	36	176
256	0	0
96	160	0
24	144	88
0	0	256
256	0	0
0	0	256
0	256	0
0	160	96
160	0	96
0	256	0
32	64	160
0	0	256
0	0	256
128	0	128
256	0	0
0	256	0
0	0	256
256	0	0
160	0	96
64	48	144
256	0	0
256	0	0
0	224	32
0	128	128
256	0	0
128	128	0
88	136	32
136	112	8
88	72	96
144	100	12
12	168	76
48	192	16
16	136	104
16	176	64
58	102	96
80	48	128
28	76	152
88	112	56
140	112	4
16	160	80
110	52	94
256	0	0
72	112	72
0	128	128
16	192	48
192	0	64
32	160	64
128	16	112
68	100	88
112	100	44
144	68	44
112	68	76
40	176	40
120	72	64
176	24	56
192	0	64
80	96	80
0	24	232
56	116	84
16	140	100
0	160	96
88	128	40
0	64	192
0	64	192
64	64	128
48	116	92
0	256	0
0	160	96
0	256	0
256	0	0
0	256	0
0	256	0
96	40	120
64	192	0
44	76	136
184	40	32
128	64	64
256	0	0
112	64	80
64	192	0
168	48	40
44	204	8
64	112	80
120	120	16
0	256	0
0	256	0
0	256	0
40	164	52
40	216	0
64	120	72
0	256	0
160	96	0
96	128	32
0	224	32
44	144	68
24	0	232
256	0	0
160	80	16
16	224	16
56	176	24
0	0	256
