#topo1 (Outgroup,((anodes,niv),pet));
#topo2 (Outgroup,((anodes,pet),niv));
#topo3 (Outgroup,(anodes,(niv,pet)));
topo1	topo2	topo3
0	0	128
0	128	0
0	64	64
64	0	64
128	0	0
0	128	0
0	128	0
128	0	0
0	0	128
0	0	128
0	32	96
0	0	128
0	0	128
0	0	128
0	0	128
0	0	128
0	0	128
0	0	128
8	24	96
0	0	128
0	128	0
0	0	128
0	0	128
0	0	128
0	128	0
0	0	128
0	0	128
0	0	128
0	128	0
0	96	32
32	32	64
8	56	64
0	32	96
128	0	0
96	12	20
8	24	96
0	0	128
0	0	128
16	32	80
128	0	0
128	0	0
128	0	0
0	96	32
44	12	72
0	72	56
96	0	32
0	0	128
96	16	16
0	128	0
0	0	128
64	0	64
64	0	64
96	0	32
0	0	128
64	32	32
16	96	16
0	0	128
0	128	0
0	0	128
8	32	88
64	0	64
32	0	96
24	32	72
128	0	0
64	0	64
0	64	64
0	128	0
0	112	16
0	128	0
64	0	64
0	64	64
0	96	32
36	56	36
32	64	32
32	64	32
32	40	56
64	0	64
64	0	64
0	0	128
24	0	104
0	0	128
0	8	120
0	0	128
16	48	64
0	0	128
0	0	128
0	64	64
76	16	36
80	0	48
0	52	76
40	0	88
0	80	48
128	0	0
44	36	48
0	0	128
48	0	80
0	128	0
12	36	80
128	0	0
32	64	32
8	0	120
52	60	16
16	0	112
64	32	32
44	60	24
66	34	28
0	64	64
0	0	128
32	0	96
64	48	16
32	8	88
40	40	48
48	80	0
128	0	0
128	0	0
32	0	96
0	0	128
64	0	64
64	32	32
0	0	128
0	128	0
0	0	128
64	48	16
64	64	0
64	64	0
48	48	32
96	32	0
0	16	112
48	64	16
0	0	128
48	32	48
0	0	128
0	128	0
16	48	64
0	64	64
0	128	0
64	0	64
128	0	0
0	16	112
0	128	0
96	24	8
128	0	0
0	0	128
0	96	32
0	128	0
0	128	0
0	0	128
76	24	28
44	16	68
0	0	128
10	22	96
32	64	32
40	40	48
64	32	32
53	11	64
0	16	112
32	64	32
0	128	0
112	0	16
128	0	0
32	0	96
32	0	96
64	64	0
68	0	60
24	88	16
32	48	48
0	96	32
0	64	64
0	64	64
60	16	52
84	0	44
0	0	128
32	64	32
0	64	64
96	0	32
0	0	128
64	0	64
104	24	0
0	0	128
32	96	0
112	16	0
0	128	0
96	0	32
80	0	48
