chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	662506	1113618	0.666337	0.142186	0.118905	0.657303
Ha412HOChr01	731019	1279055	0.227804	0.037513	0.028802	0.220736
Ha412HOChr01	1113672	1370496	0.188040	0.029951	0.022243	0.167247
Ha412HOChr01	1279112	1381261	-0.022368	-0.005444	-0.003854	-0.006192
Ha412HOChr01	1370795	1712737	-0.073313	-0.013971	-0.010039	-0.070946
Ha412HOChr01	1381299	1752483	-0.022479	-0.003215	-0.002384	-0.081181
Ha412HOChr01	1712806	2133346	-0.183191	-0.032223	-0.022195	-0.168712
Ha412HOChr01	1848023	2182462	0.001274	0.000132	0.000097	-0.006494
Ha412HOChr01	2133349	2267019	0.005357	0.000686	0.000506	-0.016287
Ha412HOChr01	2192110	2383655	0.054469	0.011988	0.007904	0.028939
Ha412HOChr01	2267076	2568229	0.076794	0.009830	0.007690	0.058462
Ha412HOChr01	2383664	2639855	0.060050	0.007614	0.005862	0.050000
Ha412HOChr01	2568351	2895812	0.073124	0.012231	0.008525	0.047923
Ha412HOChr01	2650203	3158586	-0.242049	-0.032039	-0.023926	-0.220736
Ha412HOChr01	2895824	3194043	-0.096280	-0.017535	-0.012642	-0.102564
Ha412HOChr01	3158601	3302714	0.647655	0.189341	0.145632	0.379501
Ha412HOChr01	3194097	4468188	0.250746	0.036631	0.027567	0.270195
Ha412HOChr01	3303943	5313924	-0.270214	-0.027908	-0.022018	-0.179894
Ha412HOChr01	4469935	5551983	-0.221347	-0.022758	-0.018777	-0.190616
Ha412HOChr01	5339367	5984325	0.007891	0.000937	0.000764	0.005618
Ha412HOChr01	5558738	6274123	0.099010	0.011537	0.008944	0.025510
Ha412HOChr01	5985205	6327757	-0.031017	-0.004698	-0.003427	-0.058524
Ha412HOChr01	6274331	6328561	-0.139845	-0.040339	-0.025806	-0.107050
Ha412HOChr01	6327765	6590520	-0.321127	-0.057182	-0.038427	-0.227397
Ha412HOChr01	6328575	6841738	-0.334242	-0.044436	-0.033035	-0.317507
Ha412HOChr01	6695748	7188743	-0.173763	-0.021541	-0.016320	-0.156442
Ha412HOChr01	6841747	7451165	-0.161933	-0.017848	-0.013041	-0.111406
Ha412HOChr01	7188769	7669958	0.274171	0.045108	0.033286	0.244275
Ha412HOChr01	7452365	7970492	0.426020	0.090468	0.067296	0.399281
Ha412HOChr01	7757491	8493014	0.155844	0.023334	0.017173	0.116390
Ha412HOChr01	7990942	8557430	0.133807	0.015320	0.011548	0.052941
Ha412HOChr01	8493021	8770730	-0.164760	-0.019726	-0.012142	-0.161585
Ha412HOChr01	8557433	8801812	-0.298815	-0.039627	-0.022760	-0.233846
Ha412HOChr01	8770742	9022041	0.206723	0.033837	0.021861	0.127168
Ha412HOChr01	8801837	9023198	0.481668	0.125485	0.084797	0.362573
Ha412HOChr01	9022107	9034269	0.382143	0.163359	0.122496	0.300676
Ha412HOChr01	9023222	9390850	-0.079659	-0.012987	-0.009871	-0.113208
Ha412HOChr01	9042940	9402879	0.243621	0.042993	0.031137	0.122402
Ha412HOChr01	9390869	9492495	0.468035	0.124992	0.084150	0.341121
Ha412HOChr01	9403148	9866237	0.098683	0.019621	0.013564	0.005618
Ha412HOChr01	9494367	10501388	-0.098448	-0.009723	-0.007324	-0.114754
Ha412HOChr01	9866291	10663630	0.085213	0.009657	0.007613	0.017751
Ha412HOChr01	10501445	11372981	0.117017	0.020533	0.015044	0.069307
Ha412HOChr01	10663637	12033865	-0.069764	-0.011102	-0.007848	-0.031746
Ha412HOChr01	11374551	12641484	0.017788	0.002406	0.001793	0.017699
