chr	start	end	gene_number
Ha412HOChr17	9755154	9754615	00009
Ha412HOChr05	182134036	182133659	00032
Ha412HOChr17	78114740	78114240	00034
Ha412HOChr11	198701662	198702035	00064
Ha412HOChr05	114918952	114919495	00079
Ha412HOChr13	8649299	8649856	00094
Ha412HOChr02	183500889	183501324	00105
Ha412HOChr12	3818812	3818432	00107
Ha412HOChr14	178576188	178575679	00112
Ha412HOChr16	142072803	142073412	00113
Ha412HOChr03	146711572	146712014	00117
Ha412HOChr02	23814604	23814009	00120
Ha412HOChr12	4982510	4982088	00179
Ha412HOChr17	191311993	191311485	00183
Ha412HOChr04	12442929	12442515	00226
Ha412HOChr16	52423449	52423568	00239
Ha412HOChr16	37056911	37056496	00292
Ha412HOChr03	101881501	101882139	00299
Ha412HOChr13	47133316	47132894	00331
Ha412HOChr12	93133463	93132976	00360
Ha412HOChr04	1507492	1507024	00369
Ha412HOChr09	12157835	12157458	00381
Ha412HOChr04	160986530	160986967	00504
Ha412HOChr16	200921667	200921134	00538
Ha412HOChr16	214216697	214215963	00542
Ha412HOChr11	43677085	43676786	00570
Ha412HOChr02	56902011	56901391	00581
Ha412HOChr14	159141766	159142389	00665
Ha412HOChr15	4351980	4352364	00730
Ha412HOChr09	140635396	140634995	00738
Ha412HOChr17	22410256	22410672	00742
Ha412HOChr05	130182329	130181851	00743
Ha412HOChr05	7895548	7895050	00749
Ha412HOChr02	179320123	179319690	00761
Ha412HOChr05	116523920	116524419	00775
Ha412HOChr14	166400126	166400688	00788
Ha412HOChr04	214065301	214065758	00789
Ha412HOChr04	214050520	214050018	00794
Ha412HOChr09	180447871	180447357	00808
Ha412HOChr08	82255207	82255635	00838
Ha412HOChr13	174931071	174931539	00855
Ha412HOChr08	164086676	164086236	00916
Ha412HOChr17	98679012	98679508	00919
Ha412HOChr08	144343384	144343897	00944
Ha412HOChr16	175896052	175896589	01013
Ha412HOChr17	12802871	12802400	01094
Ha412HOChr16	113560333	113559716	01105
Ha412HOChr05	141716940	141716489	01129
Ha412HOChr13	79489910	79490503	01148
Ha412HOChr16	70226562	70227038	01183
Ha412HOChr16	70229508	70229869	01184
Ha412HOChr10	127265355	127266160	01201
Ha412HOChr08	100523468	100523806	01240
Ha412HOChr12	5581617	5581135	01259
Ha412HOChr07	39945323	39945921	01269
Ha412HOChr07	100506191	100506625	01274
Ha412HOChr07	132185896	132186354	01293
Ha412HOChr15	177108463	177108881	01294
Ha412HOChr14	186929731	186929287	01305
Ha412HOChr13	55134663	55133328	01320
Ha412HOChr06	17775142	17775909	01372
Ha412HOChr10	179296601	179297035	01392
Ha412HOChr11	150168498	150168010	01404
Ha412HOChr11	3038332	3038771	01411
Ha412HOChr11	131025467	131025966	01418
Ha412HOChr17	17474660	17475104	01439
Ha412HOChr06	25210677	25210180	01454
Ha412HOChr01	74972023	74971532	01458
Ha412HOChr04	149720748	149720248	01510
Ha412HOChr07	154083524	154083961	01568
Ha412HOChr04	216349707	216350195	01577
Ha412HOChr14	167395017	167393898	01584
Ha412HOChr10	176810576	176810235	01587
Ha412HOChr04	70939886	70940329	01590
Ha412HOChr13	97556383	97556695	01612
Ha412HOChr03	86816171	86815850	01673
Ha412HOChr15	18013686	18014214	01730
Ha412HOChr05	4307797	4308328	01739
Ha412HOChr13	97774751	97775105	01741
Ha412HOChr08	170130452	170130928	01770
Ha412HOChr05	11497662	11497198	01800
Ha412HOChr14	81282544	81283075	01850
Ha412HOChr01	10194362	10194856	01864
Ha412HOChr15	176995900	176995369	01895
Ha412HOChr12	752097	752665	01897
Ha412HOChr17	141158518	141158959	01909
Ha412HOChr15	5031507	5031068	01918
Ha412HOChr15	35098756	35098340	01922
Ha412HOChr14	110139827	110139103	01930
Ha412HOChr11	154192435	154192663	01934
Ha412HOChr03	173387138	173387625	01950
Ha412HOChr08	87765429	87766271	01959
Ha412HOChr17	71166750	71167229	01970
Ha412HOChr13	99740825	99740482	01991
Ha412HOChr02	90253422	90253953	02180
Ha412HOChr07	147622149	147622539	02211
Ha412HOChr04	219500462	219500941	02305
Ha412HOChr01	13946616	13945873	02385
Ha412HOChr02	181741171	181741578	02423
Ha412HOChr04	219106292	219106690	02434
Ha412HOChr04	166328106	166327407	02454
Ha412HOChr10	135367418	135367057	02464
Ha412HOChr11	133246800	133247243	02498
Ha412HOChr05	179707542	179707006	02554
Ha412HOChr10	189215898	189216477	02645
Ha412HOChr05	17940971	17941474	02718
Ha412HOChr11	188783531	188783945	02724
Ha412HOChr12	119354671	119355116	02741
Ha412HOChr09	117217309	117216877	02754
Ha412HOChr04	72203208	72202591	02861
Ha412HOChr07	155439255	155439639	02872
Ha412HOChr02	121902582	121903018	02893
Ha412HOChr16	37059567	37059117	02913
Ha412HOChr15	184767118	184766560	02923
Ha412HOChr04	63103541	63102998	03201
Ha412HOChr11	13508105	13507586	03241
Ha412HOChr07	31719927	31719597	03354
Ha412HOChr10	81005247	81004792	03483
Ha412HOChr01	157344544	157344003	03531
Ha412HOChr06	109754328	109753773	03546
Ha412HOChr09	190675323	190675839	03561
Ha412HOChr06	151465203	151465865	03624
Ha412HOChr14	179399786	179400233	03631
Ha412HOChr04	199960002	199960482	03641
Ha412HOChr03	21932233	21931724	03649
Ha412HOChr15	3424275	3424539	03957
Ha412HOChr13	88490277	88490917	03979
Ha412HOChr16	211217552	211218222	04032
Ha412HOChr02	101497441	101496960	04072
Ha412HOChr13	144661964	144661027	04077
Ha412HOChr07	154435315	154434887	04099
Ha412HOChr17	18561371	18560908	04285
Ha412HOChr05	102401217	102401671	04294
Ha412HOChr12	173844021	173844673	04319
Ha412HOChr14	49666752	49666257	04366
Ha412HOChr11	190698399	190698914	04497
Ha412HOChr11	61836813	61837395	04503
Ha412HOChr02	59879806	59880238	04519
Ha412HOChr08	114189480	114189084	04547
Ha412HOChr17	29642124	29642963	04563
Ha412HOChr14	148988061	148987397	04591
Ha412HOChr06	125358704	125359203	04615
Ha412HOChr15	28662612	28662178	04712
Ha412HOChr06	9172554	9173057	04737
Ha412HOChr13	7183551	7184052	04767
Ha412HOChr13	148265445	148264734	04834
Ha412HOChr01	139894443	139893951	04865
Ha412HOChr16	56154999	56154476	05081
Ha412HOChr15	7163044	7163528	05082
Ha412HOChr06	10517596	10516939	05115
Ha412HOChr08	16165960	16165379	05120
Ha412HOChr11	35070271	35070703	05160
Ha412HOChr03	18361082	18361619	05230
Ha412HOChr08	22213362	22212762	05294
Ha412HOChr03	144138109	144138548	05334
Ha412HOChr04	37528556	37528136	05355
Ha412HOChr16	8308218	8308733	05374
Ha412HOChr15	54548062	54547604	05395
Ha412HOChr11	44423542	44423975	05413
Ha412HOChr13	94350222	94349722	05418
Ha412HOChr02	172747987	172747567	05544
Ha412HOChr06	799031	798354	05585
Ha412HOChr10	179180848	179180176	05622
Ha412HOChr12	118996959	118996072	05804
Ha412HOChr08	175880338	175879794	05824
Ha412HOChr13	141820544	141819968	05859
Ha412HOChr10	28827853	28827409	05860
Ha412HOChr01	100016153	100015574	05936
Ha412HOChr16	48177059	48176555	06026
Ha412HOChr12	28088586	28089068	06238
