chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	725712	1280674	0.264033	0.062456	0.046014	0.209354
Ha412HOChr01	1101705	1376227	0.161789	0.029386	0.021740	0.109551
Ha412HOChr01	1280938	1381332	0.358939	0.091941	0.068898	0.324921
Ha412HOChr01	1376460	1707314	0.257118	0.060018	0.045264	0.164912
Ha412HOChr01	1381340	1742334	-0.049111	-0.008007	-0.006045	-0.056140
Ha412HOChr01	1707363	2162144	-0.009073	-0.001831	-0.001313	-0.025000
Ha412HOChr01	1743465	2180278	0.120059	0.023285	0.016020	0.081218
Ha412HOChr01	2162146	2239451	-0.033650	-0.009913	-0.005761	-0.044386
Ha412HOChr01	2181833	2281210	-0.255446	-0.069012	-0.041640	-0.233038
Ha412HOChr01	2239457	2422042	-0.156874	-0.029223	-0.020599	-0.130952
Ha412HOChr01	2330667	2571023	-0.116891	-0.017472	-0.012003	-0.087879
Ha412HOChr01	2422146	2875364	0.050204	0.007099	0.004956	0.022152
Ha412HOChr01	2571055	3009301	0.127591	0.023331	0.017031	0.064246
Ha412HOChr01	2876279	3158578	0.118841	0.030470	0.021982	0.010499
Ha412HOChr01	3011324	3201371	0.250100	0.076706	0.055627	0.081425
Ha412HOChr01	3158585	4336036	0.222207	0.055331	0.037982	0.164286
Ha412HOChr01	3201393	4480488	0.074713	0.018315	0.012530	0.101382
Ha412HOChr01	4336102	5526244	0.163283	0.021004	0.016185	0.185629
Ha412HOChr01	4598293	6059327	0.300661	0.025885	0.020183	0.232472
Ha412HOChr01	5526256	6274123	0.271143	0.034733	0.025602	0.198675
Ha412HOChr01	6059553	6327511	0.561860	0.134065	0.096761	0.476684
Ha412HOChr01	6274358	6328078	0.478612	0.209225	0.140212	0.305483
Ha412HOChr01	6327547	6328757	0.223404	0.117771	0.073298	0.116531
Ha412HOChr01	6328235	6695748	0.492490	0.151481	0.100686	0.323877
Ha412HOChr01	6328762	6841680	0.188166	0.048589	0.031878	0.076923
Ha412HOChr01	6697233	7130143	-0.179541	-0.040787	-0.027014	-0.227964
Ha412HOChr01	6841738	7253631	0.213997	0.043514	0.029153	0.176471
Ha412HOChr01	7130167	7465414	-0.198428	-0.048311	-0.031165	-0.127610
Ha412HOChr01	7253688	7651490	0.150601	0.044259	0.031320	0.140917
Ha412HOChr01	7465487	7992027	0.571543	0.128382	0.096672	0.529197
Ha412HOChr01	7657010	8493116	0.184160	0.030775	0.021810	0.134118
Ha412HOChr01	7992083	8558183	0.143783	0.026592	0.019150	0.093750
Ha412HOChr01	8532742	8799678	0.063283	0.009336	0.005452	0.035599
Ha412HOChr01	8558191	8981796	-0.189387	-0.039350	-0.021118	-0.147632
Ha412HOChr01	8799941	9023507	-0.226537	-0.050894	-0.034758	-0.192982
Ha412HOChr01	8981797	9390039	0.040678	0.006398	0.004856	0.011696
Ha412HOChr01	9023531	9396181	0.262603	0.046298	0.032572	0.064516
Ha412HOChr01	9390282	9435649	0.236207	0.059440	0.042097	0.112245
Ha412HOChr01	9396186	9866560	0.342284	0.077164	0.055146	0.313636
Ha412HOChr01	9487673	10482787	0.233006	0.044866	0.029767	0.126437
Ha412HOChr01	9866641	10612986	0.585254	0.129795	0.096681	0.400000
Ha412HOChr01	10482810	11117835	0.784470	0.181414	0.128858	0.675355
Ha412HOChr01	10613078	11513281	0.458042	0.107478	0.065802	0.394886
Ha412HOChr01	11118835	12595905	0.117278	0.026160	0.016892	0.079890
Ha412HOChr01	11513292	12646924	0.242966	0.050866	0.034361	0.151807
Ha412HOChr01	12596332	12985468	0.362402	0.077120	0.049185	0.208791
Ha412HOChr01	12646925	13517078	0.492302	0.085409	0.064279	0.357143
Ha412HOChr01	12985493	17259357	0.495090	0.048101	0.035826	0.431599
Ha412HOChr01	13530782	21237056	0.413349	0.038593	0.028025	0.344828
Ha412HOChr01	17268979	21967079	0.460004	0.055723	0.039327	0.377691
Ha412HOChr01	21237282	22519965	0.324165	0.053922	0.036531	0.298876
Ha412HOChr01	22053707	23094493	0.351815	0.105305	0.071548	0.304933
Ha412HOChr01	22520568	26166290	0.528563	0.099677	0.065237	0.407266
Ha412HOChr01	23094820	27339028	0.571945	0.083993	0.056143	0.462451
Ha412HOChr01	26166405	27343252	0.617766	0.118994	0.085470	0.375000
Ha412HOChr01	27339029	28935407	0.876198	0.345577	0.245766	0.648649
Ha412HOChr01	27343274	29350572	0.928829	0.441106	0.317896	0.910308
Ha412HOChr01	28935420	30645773	0.600697	0.149062	0.113291	0.594502
Ha412HOChr01	29350607	32257729	-0.023385	-0.002992	-0.002198	-0.035629
Ha412HOChr01	30946464	33029999	0.058121	0.008202	0.005825	-0.007653
Ha412HOChr01	32404448	33830552	-0.040272	-0.003713	-0.002699	-0.045570
Ha412HOChr01	33088168	33936389	-0.194171	-0.020678	-0.015060	-0.170213
Ha412HOChr01	33830614	34556631	-0.140746	-0.016229	-0.011782	-0.143529
Ha412HOChr01	33936443	35116961	0.244840	0.022131	0.015504	0.212938
Ha412HOChr01	34556991	35327329	0.240725	0.023081	0.016155	0.150396
Ha412HOChr01	35120509	36018491	0.139241	0.020405	0.014687	0.067308
Ha412HOChr01	35335951	36597901	0.008511	0.001464	0.001045	0.002445
Ha412HOChr01	36018716	37489524	0.068936	0.012651	0.008637	0.045346
Ha412HOChr01	36597902	37509058	0.560037	0.163056	0.104084	0.410000
Ha412HOChr01	37489630	38034162	0.502934	0.101626	0.069630	0.408971
Ha412HOChr01	37593921	39008404	0.223708	0.023897	0.016578	0.145119
Ha412HOChr01	38034269	39190806	-0.154463	-0.016366	-0.012179	-0.161290
Ha412HOChr01	39009280	39335252	-0.158304	-0.020323	-0.015874	-0.135255
Ha412HOChr01	39257540	39573245	-0.193010	-0.029358	-0.021402	-0.156757
Ha412HOChr01	39335349	39856251	-0.452745	-0.066005	-0.046526	-0.439093
Ha412HOChr01	39573263	43144980	-0.368340	-0.036642	-0.026438	-0.345794
Ha412HOChr01	39856328	43992541	-0.040771	-0.004972	-0.003479	-0.044211
Ha412HOChr01	43492036	44901159	-0.006737	-0.000917	-0.000673	0.009756
Ha412HOChr01	43992556	45162600	-0.043156	-0.006678	-0.004847	-0.024272
