chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	662789	1268064	0.269153	0.046253	0.037094	0.261261
Ha412HOChr01	881554	1365822	0.151753	0.022885	0.017377	0.117318
Ha412HOChr01	1268140	1380463	0.318414	0.071711	0.053299	0.285714
Ha412HOChr01	1366213	1713110	0.372579	0.079041	0.058222	0.311526
Ha412HOChr01	1380467	1892587	0.113486	0.018720	0.013883	0.054381
Ha412HOChr01	1713445	2177461	-0.105834	-0.014705	-0.010975	-0.072319
Ha412HOChr01	2008986	2233395	-0.269335	-0.041657	-0.028322	-0.225641
Ha412HOChr01	2177907	2281105	-0.259734	-0.060156	-0.037815	-0.247863
Ha412HOChr01	2233404	2437343	0.070058	0.009700	0.007494	0.018868
Ha412HOChr01	2281111	2597112	0.030333	0.003642	0.002714	0.011236
Ha412HOChr01	2437393	2874359	0.079371	0.012016	0.008640	0.103448
Ha412HOChr01	2597115	2989956	0.284490	0.063089	0.045900	0.225806
Ha412HOChr01	2874370	3158490	0.110103	0.025107	0.018039	0.000000
Ha412HOChr01	3002166	3200364	0.037389	0.007645	0.005897	-0.067935
Ha412HOChr01	3158527	4080031	0.076599	0.014471	0.010391	0.052239
Ha412HOChr01	3201106	4470958	-0.018082	-0.003415	-0.002421	0.071960
Ha412HOChr01	4080047	5339579	-0.179361	-0.024965	-0.019880	-0.094340
Ha412HOChr01	4470961	5559077	-0.219056	-0.023752	-0.019436	-0.201238
Ha412HOChr01	5340811	6137574	0.234117	0.027469	0.021781	0.181287
Ha412HOChr01	5559709	6327463	0.507987	0.074448	0.056638	0.435323
Ha412HOChr01	6210373	6328235	0.193124	0.046472	0.030703	0.127907
Ha412HOChr01	6327492	6391771	-0.045424	-0.010774	-0.007066	-0.002725
Ha412HOChr01	6328260	6766433	0.217302	0.041256	0.030260	0.167123
Ha412HOChr01	6391774	7130143	-0.003160	-0.000614	-0.000433	-0.085158
Ha412HOChr01	6766450	7416816	0.086471	0.011449	0.008196	0.056373
Ha412HOChr01	7130181	7647907	0.233039	0.046307	0.035041	0.248739
Ha412HOChr01	7424089	7969011	0.244487	0.057234	0.042079	0.267516
Ha412HOChr01	7651310	8334089	0.316422	0.046271	0.033254	0.274939
Ha412HOChr01	7969012	8557326	0.334373	0.040956	0.030959	0.236246
Ha412HOChr01	8436970	8770376	0.034560	0.005234	0.003128	0.013793
Ha412HOChr01	8557338	8801763	-0.026552	-0.004269	-0.002395	-0.051360
Ha412HOChr01	8770658	9021786	0.437548	0.071445	0.047418	0.325905
Ha412HOChr01	8801793	9023531	-0.031191	-0.006205	-0.004299	0.002899
Ha412HOChr01	9021824	9264517	-0.076577	-0.013585	-0.010407	-0.059829
Ha412HOChr01	9023629	9394490	0.066404	0.011384	0.008613	-0.080000
Ha412HOChr01	9264702	9407350	0.380734	0.100862	0.073749	0.209016
Ha412HOChr01	9394721	9837340	0.483520	0.108413	0.078416	0.438155
Ha412HOChr01	9435530	10409652	-0.042712	-0.005932	-0.004318	-0.064865
Ha412HOChr01	9837396	10612845	0.517372	0.089148	0.069147	0.381074
Ha412HOChr01	10482618	10772983	0.635176	0.140468	0.106279	0.549884
Ha412HOChr01	10612879	11499046	0.114987	0.022815	0.015545	0.131980
Ha412HOChr01	10775096	12033873	0.265306	0.054727	0.038377	0.239583
Ha412HOChr01	11500638	12645034	0.292257	0.049361	0.036631	0.203608
Ha412HOChr01	12033877	12984927	0.132738	0.020320	0.014982	0.040984
Ha412HOChr01	12645536	13517078	0.324279	0.055798	0.043272	0.265957
Ha412HOChr01	12985234	14754507	0.626608	0.078862	0.059366	0.588448
Ha412HOChr01	13530782	18176096	0.488023	0.068797	0.048618	0.460000
Ha412HOChr01	14756117	21313058	0.461639	0.062012	0.043638	0.394286
Ha412HOChr01	18249865	22056411	0.801422	0.123535	0.085556	0.708475
Ha412HOChr01	21435584	22710354	0.796477	0.215330	0.135887	0.671593
Ha412HOChr01	22170103	23338565	0.614607	0.209298	0.138323	0.479630
Ha412HOChr01	22710386	26845765	0.361374	0.082116	0.051862	0.265107
Ha412HOChr01	23338567	27339000	0.669591	0.169923	0.105356	0.553922
Ha412HOChr01	26846215	27343194	0.846591	0.385345	0.259256	0.602862
Ha412HOChr01	27339005	28935223	0.188576	0.049912	0.037235	0.108696
Ha412HOChr01	28451153	29652495	0.308546	0.065355	0.046605	0.289524
Ha412HOChr01	28935652	30643073	0.719842	0.152117	0.110322	0.725926
Ha412HOChr01	29652503	32257070	0.255704	0.051327	0.036212	0.222472
Ha412HOChr01	30643108	33176345	-0.096977	-0.013037	-0.009376	-0.112832
Ha412HOChr01	32404448	33830552	0.207994	0.021638	0.016542	0.141949
Ha412HOChr01	33177618	33878611	0.058572	0.006699	0.004856	0.002028
Ha412HOChr01	33830591	34442535	-0.220732	-0.026164	-0.018713	-0.249344
Ha412HOChr01	33878969	34959046	0.330200	0.039212	0.028177	0.300000
Ha412HOChr01	34442573	35129718	0.308680	0.028297	0.020667	0.236641
Ha412HOChr01	34960931	35950749	0.004146	0.000387	0.000295	-0.123684
Ha412HOChr01	35129871	36241835	0.185811	0.023921	0.017717	0.031429
Ha412HOChr01	35951571	36715422	0.133886	0.018706	0.013218	0.068047
Ha412HOChr01	36241867	37489744	0.398797	0.070549	0.048618	0.298103
Ha412HOChr01	36759654	37596191	0.699607	0.203121	0.139563	0.520000
Ha412HOChr01	37489841	38032749	0.720334	0.164522	0.115333	0.568849
Ha412HOChr01	37597481	38984385	0.562650	0.072056	0.051055	0.467153
Ha412HOChr01	38034269	39025492	0.173422	0.022096	0.016458	0.136792
Ha412HOChr01	39006623	39335349	0.069198	0.008566	0.006627	0.050661
Ha412HOChr01	39025565	39572646	0.203976	0.027442	0.020580	0.160622
Ha412HOChr01	39337718	39904457	-0.203114	-0.026031	-0.018161	-0.213333
Ha412HOChr01	39572663	43140112	-0.082341	-0.007473	-0.005491	-0.126697
Ha412HOChr01	39906333	43999595	0.268148	0.027410	0.020595	0.209713
Ha412HOChr01	43141457	44901287	0.133469	0.020880	0.015577	0.134328
Ha412HOChr01	44001772	45162600	0.003366	0.000654	0.000481	-0.008403
Ha412HOChr01	44901315	47268873	-0.146389	-0.022536	-0.016107	-0.152466
Ha412HOChr01	45163082	47662870	0.096272	0.014274	0.010604	0.036458
Ha412HOChr01	47268879	47665280	0.296234	0.052581	0.041406	0.154110
Ha412HOChr01	47662968	48527799	0.154037	0.031962	0.026392	0.054140
Ha412HOChr01	47665493	49870320	0.151979	0.019192	0.014432	0.105943
Ha412HOChr01	48837044	50600419	0.444151	0.054289	0.039984	0.374690
Ha412HOChr01	49910530	51517415	0.443448	0.079324	0.059137	0.310962
Ha412HOChr01	50600537	51668696	0.136455	0.022354	0.017121	0.036855
Ha412HOChr01	51634556	51771737	0.267327	0.051032	0.041482	0.158192
Ha412HOChr01	51668824	51849683	0.578275	0.144185	0.108124	0.461905
Ha412HOChr01	51771824	52242968	0.575677	0.113503	0.082394	0.493606
Ha412HOChr01	51849757	52690095	0.135952	0.022129	0.016565	0.089041
Ha412HOChr01	52246553	52877552	0.058380	0.011030	0.008280	0.013587
Ha412HOChr01	52690116	53004602	0.058472	0.010292	0.007488	-0.017857
Ha412HOChr01	52877607	53154026	0.152890	0.027599	0.021315	0.035088
Ha412HOChr01	53004619	53528278	0.197676	0.036738	0.029114	0.145078
Ha412HOChr01	53154041	53872788	0.109209	0.018768	0.014058	0.053476
Ha412HOChr01	53528306	53945008	0.141757	0.023151	0.015393	0.014134
Ha412HOChr01	53872824	54158155	0.146067	0.022797	0.014866	0.064286
Ha412HOChr01	53945057	54767549	0.213220	0.021558	0.016229	0.154799
Ha412HOChr01	54158873	55334457	0.031397	0.003180	0.002361	-0.047198
Ha412HOChr01	54767551	55924617	-0.067373	-0.010808	-0.007464	-0.072727
Ha412HOChr01	55334485	56081308	-0.291075	-0.049027	-0.035538	-0.194937
Ha412HOChr01	55924639	56470441	-0.249177	-0.043142	-0.029926	-0.265664
Ha412HOChr01	56083431	56542844	0.133240	0.021315	0.014784	0.058140
Ha412HOChr01	56470502	56718419	0.149298	0.022257	0.016285	0.072539
Ha412HOChr01	56558593	58222310	0.209957	0.024211	0.018858	0.085873
Ha412HOChr01	56718721	58562406	-0.048308	-0.006872	-0.005201	-0.178654
Ha412HOChr01	58222312	58617192	-0.276925	-0.049427	-0.031872	-0.353234
Ha412HOChr01	58562638	59171326	-0.196979	-0.022723	-0.014722	-0.205521
Ha412HOChr01	58617380	59216911	0.156533	0.019193	0.013156	0.095238
Ha412HOChr01	59171332	59498676	0.426802	0.057514	0.039547	0.351779
Ha412HOChr01	59286279	60285868	0.137767	0.017990	0.013472	0.079208
Ha412HOChr01	59683968	60592475	-0.006886	-0.001037	-0.000838	-0.040881
Ha412HOChr01	60285902	60671975	0.117819	0.021047	0.016767	0.015291
Ha412HOChr01	60592478	61281319	0.547132	0.135542	0.113939	0.358974
Ha412HOChr01	60671984	61587938	0.778648	0.149007	0.118179	0.647727
Ha412HOChr01	61281424	61665291	0.574194	0.123146	0.092633	0.465909
Ha412HOChr01	61587941	62054739	0.433646	0.161097	0.120703	0.302521
Ha412HOChr01	61665297	62155082	0.604868	0.185278	0.138150	0.463235
Ha412HOChr01	62153693	62571039	-0.090474	-0.015070	-0.011342	-0.086310
Ha412HOChr01	62155085	63624969	-0.164325	-0.021474	-0.016023	-0.150442
Ha412HOChr01	62571115	63751246	0.357066	0.069865	0.045388	0.284768
Ha412HOChr01	63625124	63769540	0.258564	0.067591	0.040464	0.218241
Ha412HOChr01	63751319	64031111	0.128058	0.030584	0.018025	0.064378
Ha412HOChr01	63769646	64149030	0.324932	0.060964	0.042221	0.240143
Ha412HOChr01	64116503	64468986	0.324612	0.061148	0.046556	0.260504
Ha412HOChr01	64154195	64921514	0.344751	0.071658	0.052696	0.259563
Ha412HOChr01	64469236	65150296	0.438039	0.122878	0.090836	0.285311
Ha412HOChr01	64921521	65312815	0.368957	0.063478	0.050846	0.272152
Ha412HOChr01	65150821	65593378	0.307279	0.043852	0.035459	0.221519
Ha412HOChr01	65313398	66109358	0.476020	0.064675	0.052823	0.406417
Ha412HOChr01	65594086	66248593	0.378518	0.048358	0.038324	0.338501
Ha412HOChr01	66109364	66890265	0.171840	0.024200	0.019004	0.063830
Ha412HOChr01	66248726	67405742	0.043202	0.007458	0.005521	0.016529
Ha412HOChr01	66890492	67606534	0.050652	0.011944	0.007454	0.052854
Ha412HOChr01	67406045	67726420	0.482958	0.133285	0.081905	0.288783
Ha412HOChr01	67606555	68066902	0.534146	0.082455	0.058623	0.401316
Ha412HOChr01	67726472	68655876	0.290982	0.045635	0.034354	0.221239
Ha412HOChr01	68074225	68658781	0.083333	0.019214	0.014923	0.000000
Ha412HOChr01	68655960	68884005	0.146167	0.036658	0.024850	0.047859
Ha412HOChr01	68658782	69514935	0.294410	0.046266	0.032368	0.170984
Ha412HOChr01	68884026	69517362	0.491320	0.120914	0.092703	0.442897
Ha412HOChr01	69515716	69602668	0.304933	0.119859	0.090751	0.239905
Ha412HOChr01	69517371	69763344	-0.176282	-0.037129	-0.025558	-0.148688
Ha412HOChr01	69602727	70265888	0.115865	0.018657	0.013201	0.016611
Ha412HOChr01	69763399	70655881	0.221646	0.033970	0.026066	0.054313
Ha412HOChr01	70265989	71056887	-0.098742	-0.012831	-0.010173	-0.090909
Ha412HOChr01	70733076	71148719	-0.174926	-0.022000	-0.016656	-0.170732
