chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	675104	1276445	-0.103514	-0.018741	-0.014010	-0.089820
Ha412HOChr01	881717	1354553	-0.178212	-0.041459	-0.027732	-0.132743
Ha412HOChr01	1277650	1366224	-0.079741	-0.025511	-0.017600	-0.056391
Ha412HOChr01	1354556	1381342	0.206413	0.049267	0.036310	0.227451
Ha412HOChr01	1370487	1713445	-0.063807	-0.010479	-0.007713	-0.060932
Ha412HOChr01	1381379	1877741	-0.484017	-0.066445	-0.047539	-0.353791
Ha412HOChr01	1713448	2169638	-0.092931	-0.016033	-0.010641	-0.102389
Ha412HOChr01	1890202	2178734	0.108906	0.018051	0.012618	0.098039
Ha412HOChr01	2170243	2265994	0.128652	0.020164	0.013900	0.083333
Ha412HOChr01	2178742	2330667	0.037707	0.007888	0.004854	0.014925
Ha412HOChr01	2266333	2401820	-0.242482	-0.063413	-0.038292	-0.170370
Ha412HOChr01	2330878	2532413	-0.140263	-0.035235	-0.025875	-0.143791
Ha412HOChr01	2401874	2569214	0.047456	0.015524	0.010939	0.011194
Ha412HOChr01	2532430	2594001	0.052693	0.024963	0.012269	0.032432
Ha412HOChr01	2569229	2873911	0.192851	0.072038	0.047471	0.108844
Ha412HOChr01	2595577	2989750	0.021024	0.007585	0.005074	-0.008108
Ha412HOChr01	2874089	3158577	-0.244854	-0.057135	-0.039549	-0.175182
Ha412HOChr01	2989764	3200961	-0.367075	-0.088933	-0.062092	-0.306452
Ha412HOChr01	3158578	3973233	-0.446910	-0.118562	-0.082577	-0.361991
Ha412HOChr01	3201106	4470964	-0.446127	-0.089269	-0.065469	-0.327146
Ha412HOChr01	3973322	5298338	-0.661860	-0.124005	-0.095542	-0.558897
Ha412HOChr01	4471090	5526417	-0.714286	-0.132155	-0.100201	-0.669725
Ha412HOChr01	5312572	5562104	-0.213093	-0.030843	-0.023872	-0.159011
Ha412HOChr01	5541839	6065564	-0.173973	-0.024468	-0.018729	-0.113712
Ha412HOChr01	5572461	6267899	-0.749440	-0.153002	-0.107185	-0.656891
