chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	662904	1268044	-0.406885	-0.071044	-0.053553	-0.336735
Ha412HOChr01	1094776	1354588	-0.193297	-0.037263	-0.026203	-0.169591
Ha412HOChr01	1268064	1377842	-0.044811	-0.009373	-0.006536	-0.051613
Ha412HOChr01	1354590	1707314	-0.006568	-0.001111	-0.000821	0.006711
Ha412HOChr01	1379981	1890202	-0.060698	-0.009231	-0.006627	-0.088608
Ha412HOChr01	1707363	2170292	-0.112347	-0.021710	-0.014754	-0.098667
Ha412HOChr01	2011043	2192338	-0.234450	-0.042182	-0.028651	-0.172414
Ha412HOChr01	2170300	2269209	-0.272997	-0.044831	-0.028759	-0.236246
Ha412HOChr01	2193565	2346852	-0.429914	-0.108835	-0.060977	-0.378486
Ha412HOChr01	2269233	2422146	-0.319233	-0.079215	-0.052226	-0.256579
Ha412HOChr01	2346911	2568351	-0.282877	-0.067930	-0.050421	-0.196429
Ha412HOChr01	2435731	2570956	-0.434268	-0.148403	-0.086836	-0.377049
Ha412HOChr01	2568383	2798511	-0.016073	-0.004697	-0.002899	-0.017794
Ha412HOChr01	2570992	2989539	-0.047007	-0.013155	-0.009414	-0.036842
Ha412HOChr01	2798665	3158397	-0.406290	-0.102494	-0.071961	-0.307292
Ha412HOChr01	2989562	3201804	-0.418891	-0.087217	-0.063604	-0.258486
Ha412HOChr01	3158400	4080075	-0.509881	-0.127500	-0.087288	-0.377880
Ha412HOChr01	3201808	4470961	-0.486217	-0.127426	-0.085968	-0.381579
Ha412HOChr01	4335999	5298237	-0.487574	-0.101684	-0.077648	-0.404580
Ha412HOChr01	4470964	5526279	-0.657919	-0.112251	-0.085868	-0.626230
Ha412HOChr01	5298338	5985064	-0.375152	-0.049293	-0.036922	-0.347458
Ha412HOChr01	5526345	6137452	-0.432099	-0.066799	-0.050722	-0.429530
Ha412HOChr01	5985173	6300475	-0.432861	-0.110535	-0.079174	-0.364341
Ha412HOChr01	6137503	6327960	-0.225084	-0.060756	-0.040449	-0.151832
Ha412HOChr01	6305732	6328974	0.113274	0.028087	0.016694	0.038168
Ha412HOChr01	6327972	6755018	-0.165357	-0.040391	-0.026223	-0.080808
Ha412HOChr01	6328988	6836229	-0.634184	-0.182308	-0.120731	-0.625668
Ha412HOChr01	6755704	7023600	-0.732226	-0.253003	-0.162576	-0.596639
Ha412HOChr01	6836327	7193933	-0.460637	-0.149973	-0.092261	-0.292135
