chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Ha412HOChr01	662816	1101831	0.727085	0.184467	0.149663	0.708455
Ha412HOChr01	731019	1280938	0.120697	0.028131	0.020067	0.097720
Ha412HOChr01	1113224	1370795	-0.086384	-0.018233	-0.013182	-0.039088
Ha412HOChr01	1281040	1381249	0.104733	0.030386	0.021131	0.121795
Ha412HOChr01	1370825	1694969	0.104782	0.027742	0.019314	0.077181
Ha412HOChr01	1381261	1713852	0.045592	0.006960	0.005411	0.006993
Ha412HOChr01	1695078	1877628	-0.298429	-0.056669	-0.041866	-0.195652
Ha412HOChr01	1713857	2170673	-0.173731	-0.033032	-0.022301	-0.142857
Ha412HOChr01	1877741	2233404	0.016462	0.002502	0.001615	-0.016575
Ha412HOChr01	2171169	2268650	-0.052700	-0.010016	-0.006445	-0.054662
Ha412HOChr01	2235953	2396989	-0.160150	-0.035427	-0.024087	-0.134948
Ha412HOChr01	2269237	2536323	-0.094200	-0.014874	-0.010932	-0.102894
Ha412HOChr01	2397004	2740622	0.031868	0.005166	0.003805	-0.019048
Ha412HOChr01	2568351	2895824	0.061414	0.012642	0.008335	0.000000
Ha412HOChr01	2740667	3158412	-0.047428	-0.007460	-0.005430	-0.038328
Ha412HOChr01	2896687	3194003	-0.213652	-0.041138	-0.029726	-0.173077
Ha412HOChr01	3158563	3201808	0.291986	0.110089	0.076446	0.109589
Ha412HOChr01	3194027	4337075	0.238754	0.047767	0.034273	0.211699
Ha412HOChr01	3301382	5288133	0.060009	0.007376	0.005569	0.086053
Ha412HOChr01	4366872	5551612	0.277540	0.027492	0.021746	0.279152
Ha412HOChr01	5290175	5873907	0.303495	0.031029	0.024607	0.198630
Ha412HOChr01	5551977	6137574	0.008044	0.001100	0.000829	-0.043228
Ha412HOChr01	5873920	6327279	0.164784	0.033336	0.023028	0.102564
Ha412HOChr01	6158049	6328235	0.119560	0.030315	0.019547	0.029333
Ha412HOChr01	6327315	6328923	-0.229927	-0.061594	-0.037003	-0.123894
